date, pm25, pm10, o3, no2, so2, co
2022/10/1, 50, 5, 24, 3, , 3
2022/9/1, 14, 9, 29, 7, , 3
2022/9/2, 17, 14, 36, 9, , 3
2022/9/3, 34, 13, 26, 9, , 4
2022/9/4, 40, 15, 45, 12, , 4
2022/9/5, 40, 14, 41, 7, , 3
2022/9/6, 36, 22, 46, 11, , 4
2022/9/7, 57, 24, 38, 9, , 4
2022/9/8, 50, 8, 35, 8, , 3
2022/9/9, 16, 9, 32, 5, , 3
2022/9/10, 14, 4, 29, 3, , 3
2022/9/11, 9, 7, 30, 5, , 3
2022/9/12, 22, 12, 37, 11, , 3
2022/9/13, 26, 15, 36, 10, , 3
2022/9/14, 43, 11, 28, 8, , 4
2022/9/15, 25, 8, 19, 5, , 4
2022/9/16, 31, 7, 21, 3, , 3
2022/9/17, 22, 4, 25, 2, , 3
2022/9/18, 9, 4, 22, 4, , 3
2022/9/19, 8, 3, 23, 3, , 3
2022/9/20, 13, 6, 25, 6, , 3
2022/9/21, 18, 11, 17, 10, , 4
2022/9/22, 23, 12, 34, 11, , 4
2022/9/23, 36, , , , , 
2022/9/26, 57, 14, 21, 8, , 4
2022/9/27, 47, 5, 25, 5, , 3
2022/9/28, 14, 11, 21, 8, , 4
2022/9/29, 27, 15, 15, 10, , 5
2022/9/30, 35, 12, 21, 7, , 4
2022/8/1, 24, 11, 47, 9, , 6
2022/8/2, 24, 13, 60, 10, , 7
2022/8/3, 28, 18, 17, 19, , 7
2022/8/4, 27, 19, 60, 10, , 6
2022/8/5, 28, 14, 62, 3, , 7
2022/8/6, 32, 7, 45, 4, , 7
2022/8/7, 17, 11, 31, 7, , 7
2022/8/8, 26, 12, 43, 6, , 7
2022/8/9, 32, 7, 34, 4, , 6
2022/8/10, 15, 8, 33, 6, , 6
2022/8/11, 12, 8, 38, 6, , 7
2022/8/12, 17, 14, 46, 8, , 7
2022/8/13, 34, 14, 48, 8, , 7
2022/8/14, 32, 17, 47, 9, , 7
2022/8/15, 34, 16, 48, 10, , 6
2022/8/16, 32, 16, 64, 12, , 4
2022/8/17, 30, 21, 58, 11, , 4
2022/8/18, 41, 26, 54, 6, , 4
2022/8/19, 44, 20, 31, 6, , 4
2022/8/20, 44, 9, 25, 3, , 4
2022/8/21, 24, 9, 32, 5, , 4
2022/8/22, 24, 9, 35, 5, , 4
2022/8/23, 33, 20, 34, 7, , 4
2022/8/24, 41, 22, 59, 8, , 4
2022/8/25, 45, 30, 17, 14, , 5
2022/8/26, 46, 35, 62, 11, , 4
2022/8/27, 40, 16, 51, 5, , 4
2022/8/28, 35, 13, 36, 5, , 4
2022/8/29, 27, 12, 51, 8, , 3
2022/8/30, 34, 13, 45, 8, , 4
2022/8/31, 27, 9, 23, 9, , 3
2022/7/1, 48, , , , , 
2022/7/4, 19, 13, 28, 4, , 5
2022/7/5, 20, 9, 35, 3, , 4
2022/7/6, 30, 10, 36, 5, , 4
2022/7/7, 22, 10, 35, 4, , 4
2022/7/8, 23, 8, 28, 2, , 4
2022/7/9, 17, 7, 25, 2, , 3
2022/7/10, 13, 8, 28, 2, , 3
2022/7/11, 18, 9, 28, 5, , 3
2022/7/12, 14, , , , , 
2022/7/13, 14, 7, 44, 2, , 3
2022/7/14, 15, 13, 28, 5, , 3
2022/7/15, 24, , , , , 
2022/7/16, 18, , , , , 
2022/7/17, 12, 11, 44, 5, , 3
2022/7/18, 13, 6, 60, 3, , 3
2022/7/19, 18, 17, 56, 5, , 4
2022/7/20, 27, 25, 75, 11, , 5
2022/7/21, 25, 20, 67, 8, , 4
2022/7/22, 26, 27, 60, 11, , 5
2022/7/23, 44, 13, 44, 3, , 4
2022/7/24, 20, 14, 57, 7, , 5
2022/7/25, 28, 18, 36, 9, , 7
2022/7/26, 42, 12, 52, 5, , 6
2022/7/27, 33, 14, 57, 7, , 6
2022/7/28, 25, 17, 53, 7, , 6
2022/7/29, 30, 16, 34, 5, , 7
2022/7/30, 27, 7, 30, 4, , 6
2022/7/31, 25, 11, 48, 6, , 6
2022/6/1, 18, 10, 41, 13, , 4
2022/6/2, 25, 12, 45, 8, , 4
2022/6/3, 24, 13, 28, 6, , 4
2022/6/4, 30, 17, 42, 5, , 4
2022/6/5, 38, 13, 44, 4, , 3
2022/6/6, 26, 14, 43, 9, , 4
2022/6/7, 21, 16, 36, 9, , 5
2022/6/8, 39, 13, 26, 9, , 4
2022/6/9, 43, 12, 38, 5, , 4
2022/6/10, 35, 10, 43, 5, , 4
2022/6/11, 32, 12, 49, 6, , 3
2022/6/12, 27, 13, 51, 9, , 3
2022/6/13, 26, 9, 44, 4, , 2
2022/6/14, 23, 13, 57, 8, , 2
2022/6/15, 21, 22, 42, 16, , 3
2022/6/24, 22, , 34, 4, , 4
2022/6/25, 24, , 42, 5, , 4
2022/6/26, 20, 14, 43, 7, , 4
2022/6/27, 30, 17, 38, 7, , 4
2022/6/28, 36, 19, 42, 9, , 4
2022/6/29, 34, 23, 42, 7, , 4
2022/6/30, 36, 21, 43, 2, , 4
2022/5/1, 39, 14, 37, 15, , 4
2022/5/2, 37, 15, 41, 13, , 4
2022/5/3, 36, 17, 40, 15, , 4
2022/5/4, 44, 18, 39, 12, , 3
2022/5/5, 43, 18, 36, 11, , 3
2022/5/6, 46, 16, 36, 7, , 3
2022/5/7, 44, 12, 35, 7, , 3
2022/5/8, 39, 15, 29, 12, , 3
2022/5/9, 37, 13, 31, 9, , 3
