date, pm25, pm10, o3, no2, so2, co
2022/10/1, 48, 4, , , , 3
2022/10/2, 13, 7, , , , 
2022/10/3, 17, 7, , , , 
2022/10/4, 20, 18, , , , 3
2022/10/5, 47, 25, , , , 
2022/10/6, 60, 21, , , , 
2022/10/7, 56, 25, , , , 
2022/10/8, 64, 23, , , , 
2022/10/9, 62, 15, , , , 
2022/10/10, 30, 27, , , , 4
2022/10/11, 60, 32, , , , 4
2022/10/12, 72, 34, , , , 4
2022/10/13, 75, 35, , , , 4
2022/10/14, 79, 32, , , , 3
2022/10/15, 72, 20, , , , 2
2022/10/16, 51, 29, , , , 4
2022/10/17, 63, 34, , , , 4
2022/10/18, 67, 22, , , , 2
2022/10/19, 50, 18, , , , 2
2022/10/20, 42, 24, , , , 3
2022/10/21, 59, 27, , , , 3
2022/10/22, 63, 18, , , , 3
2022/10/23, 60, 17, , , , 2
2022/10/24, 58, , , , , 
2022/9/2, 18, 13, 25, 14, 2, 3
2022/9/3, 33, 13, , 13, , 3
2022/9/4, 40, 15, , 17, , 3
2022/9/5, 42, 16, 27, 13, 2, 3
2022/9/6, 39, 22, 42, 16, 2, 3
2022/9/7, 56, 24, 45, 16, 5, 4
2022/9/8, 56, 8, 36, 1, 3, 3
2022/9/9, 21, 6, 33, , 3, 3
2022/9/10, 19, 3, 13, , 3, 3
2022/9/11, 11, 8, 29, , 2, 3
2022/9/12, 23, 14, 30, 19, 3, 3
2022/9/13, 32, 21, 35, 26, 3, 4
2022/9/14, 45, 10, 24, 14, 3, 4
2022/9/15, 25, 8, 27, 5, 2, 3
2022/9/16, 29, 5, 24, 5, 2, 3
2022/9/17, 17, 3, 20, 4, 2, 2
2022/9/18, 9, 2, 25, 6, 2, 2
2022/9/19, 7, 5, 23, 6, 3, 3
2022/9/20, 15, 7, 21, 8, 2, 3
2022/9/21, 22, 8, 24, , , 3
2022/9/22, 25, 11, 15, , , 3
2022/9/23, 36, , 31, , , 
2022/9/26, 47, 18, 5, , , 5
2022/9/27, 52, 7, , , , 3
2022/9/28, 15, 8, , , , 4
2022/9/29, 25, 10, , , , 4
2022/9/30, 36, 13, , , , 4
2022/8/1, 28, 10, , 7, , 4
2022/8/2, 26, 11, 58, 9, 2, 5
2022/8/3, 30, 15, , 11, , 5
2022/8/4, 31, 18, 72, 15, 2, 5
2022/8/5, 35, 22, , 11, , 5
2022/8/6, 36, 7, , 2, , 4
2022/8/7, 17, 13, 29, 6, 2, 4
2022/8/8, 26, 13, 18, 6, 2, 4
2022/8/9, 31, 10, 33, 5, 2, 4
2022/8/10, 17, 15, 32, 6, 2, 4
2022/8/11, 18, 10, 36, 8, 2, 4
2022/8/12, 20, 13, 46, 7, 2, 3
2022/8/13, 33, 25, 51, 8, 2, 3
2022/8/14, 42, 27, 43, 12, 2, 4
2022/8/15, 38, 28, 47, 13, 2, 3
2022/8/16, 37, 15, 8, 13, 2, 4
2022/8/17, 32, 22, 59, 13, 2, 4
2022/8/18, 41, 26, 51, 8, 2, 3
2022/8/19, 46, 16, 29, 5, 2, 4
2022/8/20, 50, 6, 23, 1, 2, 3
2022/8/21, 20, 8, 29, 2, , 3
