date, pm25, pm10, o3, no2, so2, co
2022/10/1, 57, , , 2, , 
2022/9/1, 22, 10, 30, 4, 1, 1
2022/9/2, 21, 14, 39, 14, 1, 2
2022/9/3, 41, 14, 27, 11, , 2
2022/9/4, 45, 19, 47, 11, 1, 2
2022/9/5, 51, 18, 46, 10, 1, 1
2022/9/6, 42, 26, 52, 9, 3, 1
2022/9/7, 62, 29, 41, 11, 2, 1
2022/9/8, 66, 7, 35, 7, 1, 2
2022/9/9, 20, 8, 34, 3, 1, 1
2022/9/10, 25, 3, 29, 2, 1, 1
2022/9/11, 11, 9, 30, 3, 1, 1
2022/9/12, 28, 18, 35, 16, 1, 3
2022/9/13, 43, 20, 28, 15, 1, 4
2022/9/14, 48, 12, 28, 10, 1, 4
2022/9/15, 34, 13, 22, 4, 1, 4
2022/9/16, 36, 9, 20, 2, 1, 3
2022/9/17, 28, 4, 26, 2, 1, 3
2022/9/18, 11, 2, 23, 2, 1, 3
2022/9/19, 8, 5, 23, 2, 1, 3
2022/9/20, 16, 8, 23, 4, 1, 3
2022/9/21, 25, 12, 15, 9, 1, 3
2022/9/22, 33, 15, 32, 9, , 4
2022/9/23, 45, , , , , 
2022/9/26, 60, 21, 18, 8, 1, 4
2022/9/27, 58, 6, 27, 6, 2, 3
2022/9/28, 15, 10, 16, 9, 1, 4
2022/9/29, 33, 12, 15, 9, 1, 4
2022/9/30, 41, 18, 19, 7, 1, 4
2022/8/1, 28, 12, 48, 8, 2, 3
2022/8/2, 31, 14, 58, 6, 2, 3
2022/8/3, 34, 17, 75, 10, 1, 3
2022/8/4, 35, 20, 78, 13, 2, 3
2022/8/5, 36, 21, 64, 11, 1, 3
2022/8/6, 41, 9, 43, 3, 1, 3
2022/8/7, 19, 13, 35, 5, 2, 3
2022/8/8, 28, 16, 40, 4, 2, 3
2022/8/9, 36, 11, 35, 4, 1, 2
2022/8/10, 18, 12, 33, 4, 1, 2
2022/8/11, 21, 12, 38, 3, 2, 3
2022/8/12, 21, 15, 46, 6, 1, 3
2022/8/13, 40, 16, 54, 8, 2, 3
2022/8/14, 40, 18, 55, 12, 2, 3
2022/8/15, 40, 18, 55, 9, 2, 3
2022/8/16, 40, 15, 67, 11, 2, 3
2022/8/17, 37, 23, 69, 12, 1, 3
2022/8/18, 47, 26, 57, 7, 1, 3
2022/8/19, 49, 19, 31, 4, 1, 3
2022/8/20, 55, 10, 26, 2, 1, 3
2022/8/21, 35, 10, 34, 4, 1, 3
2022/8/22, 33, 13, 39, 4, 1, 3
2022/8/23, 40, 18, 34, 5, 1, 3
2022/8/24, 50, 23, 54, 5, 1, 3
2022/8/25, 51, 33, 59, 7, 1, 3
2022/8/26, 53, 30, 57, 9, 1, 3
2022/8/27, 51, 18, 56, 3, 1, 2
2022/8/28, 37, 12, 38, 4, 1, 2
2022/8/29, 36, 16, 50, 7, 1, 2
2022/8/30, 45, 16, 45, 8, 1, 2
2022/8/31, 39, 8, 27, 5, 1, 2
2022/7/1, 51, 16, 42, 2, , 3
2022/7/2, 28, 16, 58, 4, , 3
2022/7/3, 34, 12, 49, 7, 2, 3
