date, pm25, pm10, o3, no2, so2, co
2022/10/1, 48, 13, 18, 12, , 5
2022/9/2, 18, 15, 25, 7, 2, 2
2022/9/3, 33, , , , , 
2022/9/4, 40, , , , , 
2022/9/5, 42, 22, 27, 30, 2, 5
2022/9/6, 39, 21, 42, 14, 2, 4
2022/9/7, 56, 27, 45, 19, 5, 5
2022/9/8, 56, 43, 36, 17, 3, 4
2022/9/9, 21, 13, 33, 13, 3, 3
2022/9/10, 19, 10, 34, 7, 2, 3
2022/9/11, 11, 5, 30, 4, 2, 2
2022/9/12, 23, 9, 30, 7, 3, 2
2022/9/13, 32, 16, 35, 19, 3, 3
2022/9/14, 45, 25, 24, 22, 3, 4
2022/9/15, 25, 17, 24, 16, 2, 4
2022/9/16, 29, 12, 20, 9, 3, 3
2022/9/17, 17, 9, 20, 6, 2, 2
2022/9/18, 9, 6, 25, 3, 2, 2
2022/9/19, 7, 4, 23, 6, 3, 2
2022/9/20, 15, 4, 21, 7, 2, 2
2022/9/21, 22, 8, 24, 9, , 3
2022/9/22, 25, 12, 15, 16, , 4
2022/9/23, 36, 16, 31, 14, , 4
2022/9/26, 47, 17, 18, 17, , 6
2022/9/27, 52, 23, 17, 14, , 6
2022/9/28, 15, 7, 15, 8, , 3
2022/9/29, 25, 11, 18, 15, , 5
2022/9/30, 36, 14, 14, 15, , 5
2022/8/1, 29, 17, 16, 15, 2, 3
2022/8/2, 26, 18, 58, 13, 2, 3
2022/8/3, 30, , , , , 
2022/8/4, 31, 27, 72, 14, 2, 3
2022/8/5, 35, , , , , 
2022/8/6, 36, , , , , 
2022/8/7, 17, 21, 29, 11, 2, 3
2022/8/8, 26, 15, 18, 8, 2, 3
2022/8/9, 31, 12, 33, 9, 2, 2
2022/8/10, 17, 14, 32, 9, 2, 2
2022/8/11, 18, 13, 36, 12, 2, 2
2022/8/12, 20, 19, 46, 10, 2, 3
2022/8/13, 33, 23, 51, 14, 2, 3
2022/8/14, 42, 25, 48, 16, 2, 3
2022/8/15, 38, 27, 47, 20, 2, 4
2022/8/16, 37, 25, 8, 22, 2, 4
2022/8/17, 32, 29, 59, 17, 2, 3
2022/8/18, 41, 32, 51, 12, 2, 3
2022/8/19, 46, 22, 29, 9, 2, 3
2022/8/20, 50, 11, 23, 6, 2, 3
2022/8/21, 20, 10, 29, 9, 2, 3
2022/8/22, 25, 11, 31, 10, 2, 3
2022/8/23, 35, 17, 32, 10, 2, 4
2022/8/24, 41, 23, 54, 12, 2, 4
2022/8/25, 45, 36, 55, 16, 2, 4
2022/8/26, 49, 39, 69, 19, 2, 4
2022/8/27, 45, 24, 51, 6, 2, 3
2022/8/28, 40, 12, 36, 9, 2, 3
2022/8/29, 24, 18, 45, 14, 2, 4
2022/8/30, 37, 18, 42, 13, 2, 3
2022/8/31, 33, 9, 25, 14, 2, 3
2022/7/1, 53, , , , , 
2022/7/2, 32, , , , , 
2022/7/3, 36, 19, 48, 8, 2, 3
2022/7/4, 32, 18, 34, 7, 2, 3
2022/7/5, 33, 12, 44, 6, 2, 3
2022/7/6, 26, 16, 45, 9, 2, 2
2022/7/7, 30, 15, 42, 7, 2, 2
2022/7/8, 34, 12, 34, 4, 2, 2
2022/7/9, 24, 13, 31, 3, 2, 2
2022/7/10, 18, 13, 32, 5, 2, 2
2022/7/11, 22, 15, 32, 8, 2, 2
2022/7/12, 20, 16, 41, 5, 2, 2
2022/7/13, 21, 22, 48, 12, 2, 3
2022/7/14, 22, 19, 37, 8, 2, 2
2022/7/15, 24, 17, 46, 7, 2, 2
2022/7/16, 21, 11, 35, 5, 2, 2
2022/7/17, 12, 15, 49, 11, 2, 2
2022/7/18, 18, 19, 63, 20, 2, 4
2022/7/19, 23, 37, 74, 24, 2, 5
2022/7/20, 33, , , , , 
2022/7/21, 31, 35, 78, 17, 2, 4
2022/7/22, 34, 37, 72, 16, 2, 4
2022/7/23, 47, 21, 50, 6, 1, 3
2022/7/24, 34, 19, 64, 13, 2, 3
2022/7/25, 32, 33, 34, 16, 2, 4
2022/7/26, 51, 18, 48, 8, 2, 3
2022/7/27, 35, 21, 63, 15, 2, 3
2022/7/28, 28, 27, 48, 13, 2, 3
2022/7/29, 31, 17, 40, 6, 2, 3
2022/7/30, 31, , , , , 
2022/7/31, 26, 16, 46, 10, 2, 3
2022/6/1, 24, 14, 43, 17, 1, 4
2022/6/2, 28, 15, 49, 13, 1, 3
2022/6/3, 28, 12, 29, 13, 1, 4
2022/6/4, 35, 15, 44, 10, 1, 4
2022/6/5, 40, 11, 47, 6, 1, 3
2022/6/6, 31, 11, 47, 13, 1, 4
2022/6/7, 22, 17, 34, 15, 1, 5
2022/6/8, 38, 17, 27, 14, 1, 4
2022/6/9, 40, 16, 31, 10, 1, 4
2022/6/10, 38, 14, 40, 8, 1, 4
2022/6/11, 36, 15, 44, 11, 1, 4
2022/6/12, 32, 19, 47, 13, 1, 4
2022/6/13, 30, 13, 42, 7, 1, 3
2022/6/14, 25, 11, 46, 16, 2, 3
2022/6/15, 21, 3, , 26, 2, 4
2022/6/16, 39, , , 8, 2, 3
2022/6/17, 22, , , 11, 2, 3
2022/6/18, 22, , , 26, 2, 4
2022/6/19, 37, , , 10, 3, 3
2022/6/22, 28, 17, , 13, 2, 3
2022/6/23, 26, 24, , 15, 2, 4
2022/6/24, 30, 19, , 9, 2, 3
2022/6/25, 29, 12, , 11, 2, 4
2022/6/26, 30, 21, 58, 15, 2, 5
2022/6/27, 40, 21, 46, 13, 2, 4
2022/6/28, 45, 24, 47, 16, 2, 4
2022/6/29, 44, 34, 51, 15, 2, 4
2022/6/30, 43, 45, 49, 11, 2, 4
2022/5/1, 45, 16, 41, 18, 1, 4
2022/5/2, 42, 22, 40, 19, 1, 4
2022/5/3, 45, 21, 41, 19, 1, 5
2022/5/4, 45, 22, 45, 18, 1, 5
2022/5/5, 46, 28, 35, 19, 1, 4
2022/5/6, 53, 19, 41, 13, 1, 4
2022/5/7, 48, 17, 44, 9, 1, 4
2022/5/8, 44, 18, 34, 15, 1, 4
2022/5/9, 40, 16, 38, 15, 1, 4
2022/5/10, 39, 28, 51, 26, 1, 5
2022/5/11, 46, 32, 50, 24, 1, 4
2022/5/12, 50, 23, 36, 11, 1, 4
2022/5/13, 26, 18, 45, 8, 1, 3
2022/5/14, 33, 18, 48, 14, 1, 3
2022/5/15, 29, 23, 53, 19, 1, 4
2022/5/16, 39, 28, 28, 18, 1, 4
2022/5/17, 56, 15, 36, 13, 1, 3
2022/5/18, 24, 18, 42, 17, 1, 3
2022/5/19, 21, 23, 52, 23, 2, 4
2022/5/20, 34, 24, 32, 18, 1, 4
2022/5/21, 33, 9, 37, 4, 1, 3
2022/5/22, 19, , , , , 
2022/4/4, 60, 15, 32, 13, 2, 5
2022/4/5, 44, 12, 29, 14, 2, 5
2022/4/6, 44, 13, 39, 21, 2, 6
2022/4/7, 55, 29, 29, 23, 3, 6
2022/4/8, 33, 15, 31, 12, 2, 5
2022/4/9, 21, 11, 26, 9, 2, 5
2022/4/10, 25, 6, 35, 6, 2, 5
2022/4/11, 25, 7, 36, 9, 2, 5
2022/4/12, 48, 19, 39, 24, 2, 7
2022/4/13, 58, 30, 41, 24, 2, 7
2022/4/14, 53, 29, 40, 29, 2, 8
2022/4/15, 51, 31, 35, 24, 4, 8
2022/4/16, 28, 9, 31, 7, 2, 6
2022/4/17, 19, 6, 36, 5, 2, 5
2022/4/18, 27, 6, 35, 7, 2, 5
2022/4/19, 51, 13, 29, 16, 2, 6
2022/4/20, 59, 15, 38, 16, 1, 6
2022/4/21, 72, 27, 40, 24, 1, 5
2022/4/22, 68, 27, 25, 23, 1, 4
2022/4/23, 61, 15, 27, 12, , 4
2022/4/24, 49, 12, 29, 11, 1, 4
2022/4/25, 25, 14, 30, 14, 1, 4
2022/4/26, 32, 12, 37, 12, 1, 4
2022/4/27, 45, 24, 21, 14, 1, 4
2022/4/28, 35, 16, 29, 15, 1, 4
2022/4/29, 36, 21, 42, 18, 1, 4
2022/4/30, 47, 20, 41, 21, 1, 4
2022/3/1, 39, 23, 28, 20, 2, 5
2022/3/2, 59, 48, 25, 25, 2, 7
2022/3/3, 88, 34, 25, 24, 2, 5
2022/3/4, 103, 23, 25, 16, 2, 3
2022/3/5, 67, 11, 35, 10, 1, 2
2022/3/6, 50, 27, 17, 20, 2, 3
2022/3/7, 85, 26, 27, 22, 2, 3
2022/3/8, 66, 29, 26, 21, 2, 3
2022/3/9, 68, 23, 32, 13, 2, 2
2022/3/10, 53, 15, 31, 17, 2, 2
2022/3/11, 43, 18, 33, 19, 2, 3
2022/3/12, 55, 38, 35, 27, 2, 6
2022/3/13, 79, 36, 36, 28, 3, 5
2022/3/14, 82, 39, 37, 24, 5, 6
2022/3/15, 89, 31, 26, 18, 2, 4
2022/3/16, 72, 35, 29, 25, 2, 5
2022/3/17, 92, 43, 22, 27, 2, 6
2022/3/18, 109, 46, 37, 22, 2, 6
2022/2/1, 48, 7, 26, 10, 1, 3
2022/2/2, 23, 15, 24, 17, 1, 4
2022/2/3, 30, 31, 16, 24, 3, 6
2022/2/4, 71, 30, 28, 17, 1, 6
2022/2/5, 61, 15, 25, 14, 1, 3
2022/2/6, 26, 7, 28, 10, 1, 3
2022/2/7, 29, 10, 25, 9, 1, 3
2022/2/8, 25, 11, 22, 16, 1, 5
2022/2/9, 24, 38, 14, 31, 2, 9
2022/2/10, 80, 34, 23, 23, 1, 6
2022/2/11, 73, 12, 24, 14, 1, 4
2022/2/12, 38, 19, 24, 19, 2, 4
2022/2/13, 57, 27, 19, 18, 3, 5
2022/2/14, 81, 26, 16, 18, 2, 6
2022/2/15, 81, 24, 20, 16, 1, 5
2022/2/16, 96, 15, 32, 12, 1, 4
2022/2/17, 23, 13, 28, 11, 1, 3
2022/2/18, 27, 15, 29, 9, 1, 4
2022/2/19, 26, 9, 26, 15, 1, 4
2022/2/20, 31, 14, 15, 16, 1, 4
2022/2/21, 50, 16, 26, 12, 1, 4
