date, pm25, pm10, o3, no2, so2, co
2022/10/1, 29, 8, 25, 3, 2, 3
2022/10/2, 19, 8, 22, 3, 2, 3
2022/10/3, 18, 9, 19, 8, 2, 3
2022/10/4, 22, 18, 23, 9, 2, 4
2022/10/5, 40, 24, 19, 17, 3, 5
2022/10/6, 55, 29, 28, 14, 2, 5
2022/10/7, 50, 41, 32, 13, 3, 4
2022/10/8, 49, , 29, 8, 2, 4
2022/10/9, 61, , 22, 12, 2, 4
2022/10/10, 29, 35, 25, 15, 3, 5
2022/10/11, 58, 38, 22, 14, 3, 6
2022/10/12, 68, 36, 2, 15, 3, 6
2022/10/13, 66, 39, , 17, 3, 5
2022/10/14, 68, 31, , 7, 3, 3
2022/10/15, 62, 23, , 8, 4, 3
2022/10/16, 51, 25, 31, 14, 4, 3
2022/10/17, 52, 60, 32, 16, 4, 3
2022/10/18, 59, 33, 24, 12, 2, 2
2022/10/19, 61, 23, 21, 14, 2, 3
2022/10/20, 45, 22, 20, 13, 3, 3
2022/10/21, 44, 32, 14, 12, 3, 3
2022/10/22, 58, , 17, 6, 2, 4
2022/10/23, 39, , 9, 5, 2, 4
2022/10/24, 30, , , , , 
2022/9/1, 31, , , , , 3
2022/9/5, 27, 16, 43, 6, , 3
2022/9/6, 32, 20, 46, 10, , 4
2022/9/7, 44, 30, 40, 10, , 3
2022/9/8, 53, 11, 36, 9, , 2
2022/9/9, 27, 10, 33, 4, , 2
2022/9/10, 24, 5, 29, 3, , 2
2022/9/11, 13, 7, 29, 4, , 2
2022/9/12, 22, 12, 33, 10, , 2
2022/9/13, 15, 18, 30, 9, , 2
2022/9/14, 29, 13, 27, 8, 2, 2
2022/9/15, 32, 11, 18, 7, 2, 2
2022/9/16, 25, 9, 21, 5, 2, 1
2022/9/17, 27, 7, 25, 2, 2, 1
2022/9/18, 17, 4, 22, 5, 2, 1
2022/9/19, 13, 5, 22, 5, 2, 2
2022/9/20, 11, 6, 23, 7, 2, 3
2022/9/21, 19, , , , , 
2022/9/23, 32, , , , , 
2022/9/26, 29, 14, 21, 8, 2, 4
2022/9/27, 35, 8, 27, 6, 2, 3
2022/9/28, 16, 9, 9, 9, 2, 4
2022/9/29, 27, 11, 14, 9, 2, 5
2022/9/30, 27, 14, 19, 7, 2, 4
2022/8/1, 27, 15, 46, 7, 1, 3
2022/8/2, 30, 14, 49, 8, 2, 3
2022/8/3, 34, 19, 62, 8, 2, 3
2022/8/4, 33, 21, 62, 9, 2, 3
2022/8/5, 28, 25, 59, 9, 2, 4
2022/8/6, 43, 13, 19, 5, 1, 3
2022/8/7, 30, 15, 28, 6, 2, 4
2022/8/8, 45, 15, 40, 6, 2, 3
2022/8/9, 31, 12, 32, 6, 1, 2
2022/8/10, 24, 11, 31, 6, 1, 2
2022/8/11, 20, 9, 35, 7, 1, 2
2022/8/12, 15, 16, 45, 7, 2, 3
2022/8/13, 30, 15, 47, 8, 2, 3
2022/8/14, 33, 19, 49, 13, 2, 3
2022/8/15, 43, , , , , 
2022/8/17, 33, 25, 59, 11, 2, 3
2022/8/18, 43, 30, 51, 6, 2, 3
2022/8/19, 50, 22, 30, 6, 2, 3
2022/8/20, 46, 10, 25, 5, 1, 3
2022/8/21, 24, 11, 34, 6, 2, 3
2022/8/22, 20, 12, 33, 5, 1, 3
2022/8/23, 23, 12, 14, 6, 1, 3
2022/8/24, 26, 27, 49, 8, 2, 3
2022/8/25, 24, 35, 54, 8, 2, 3
2022/8/26, 48, 41, 68, 9, 2, 3
2022/8/27, 53, 26, 53, 4, 2, 3
2022/8/28, 40, 13, 38, 6, 1, 3
2022/8/29, 29, 17, 51, 9, 2, 3
2022/8/30, 33, 16, 45, 7, 2, 2
2022/8/31, 28, 14, 29, 6, 2, 2
2022/7/1, 52, 24, 40, 2, 2, 3
2022/7/2, 36, 15, 52, 4, 2, 3
2022/7/3, 27, 17, 48, 10, 2, 3
2022/7/4, 33, , , , , 
2022/7/6, 21, 14, 45, 4, 2, 2
2022/7/7, 24, 16, 41, 4, 2, 3
2022/7/8, 26, 11, 34, 3, 2, 2
2022/7/9, 18, 9, 30, 1, 2, 2
2022/7/10, 18, 11, 34, 3, 2, 2
2022/7/11, 21, 14, 32, 7, 2, 2
2022/7/12, 29, 30, 40, 6, 2, 2
2022/7/13, 20, 17, 47, 8, 2, 2
2022/7/14, 18, 18, 36, 5, 2, 3
2022/7/15, 27, 12, 44, 5, 2, 4
2022/7/16, 20, 11, 34, 2, 2, 3
2022/7/17, 25, 12, 45, 6, 2, 4
2022/7/18, 19, 20, 62, 10, 2, 4
2022/7/19, 22, 31, 64, 13, 2, 5
2022/7/20, 39, 25, 64, 13, 2, 5
2022/7/21, 40, 21, 71, 8, 2, 5
2022/7/22, 33, 35, 64, 9, 2, 5
2022/7/23, 49, 19, 47, 4, 2, 5
2022/7/24, 42, 16, 57, 5, 2, 4
2022/7/25, 32, 25, 35, 10, 2, 6
2022/7/26, 43, 16, 48, 4, 2, 5
2022/7/27, 32, 16, 31, 7, 2, 5
2022/7/28, 41, 18, 49, 4, 2, 4
2022/7/29, 27, 15, 32, 4, 1, 4
2022/7/30, 37, 7, 29, 4, 1, 3
2022/7/31, 21, 12, 45, 6, 2, 3
2022/6/1, 25, 16, 37, 11, 1, 3
2022/6/2, 35, 14, 40, 10, 2, 4
2022/6/3, 33, 15, 28, 6, 1, 5
2022/6/4, 33, 13, 42, 5, 1, 5
2022/6/5, 28, 11, 43, 5, 1, 4
2022/6/6, 31, 11, 42, 8, 1, 5
2022/6/7, 27, 15, 35, 9, 2, 5
2022/6/8, 33, 15, 29, 8, 1, 5
2022/6/9, 35, 15, 32, 6, 1, 5
2022/6/10, 34, 15, 35, 5, 1, 5
2022/6/11, 34, 14, 40, 7, 1, 4
2022/6/12, 32, 16, 44, 8, 1, 4
2022/6/13, 34, 13, 40, 5, 1, 3
2022/6/14, 28, 13, 52, 8, 2, 3
2022/6/15, 27, 23, 40, 16, 2, 4
2022/6/16, 46, 9, 38, 5, 1, 2
2022/6/17, 15, 15, 45, 5, 2, 2
2022/6/18, 28, 21, 14, 11, 2, 3
2022/6/19, 41, 21, 42, 6, 2, 3
2022/6/20, 34, 16, 36, 5, 2, 2
2022/6/21, 39, 13, 39, 13, 2, 2
2022/6/22, 19, 15, 51, 15, 3, 2
2022/6/23, 29, 16, 47, 11, 2, 2
2022/6/24, 33, 18, 42, 10, 2, 2
2022/6/25, 32, 12, 53, 9, 2, 3
2022/6/26, 26, 17, 54, 13, 2, 3
2022/6/27, 40, 22, 49, 10, 2, 3
2022/6/28, 41, 19, 48, 8, 3, 3
2022/6/29, 35, 26, 52, 7, 3, 2
2022/6/30, 37, 35, 48, 5, 3, 4
2022/5/1, 38, 18, 40, 15, 1, 4
2022/5/2, 44, 18, 36, 14, 1, 4
2022/5/3, 37, 19, 36, 15, 1, 4
2022/5/4, 38, 17, 40, 12, 1, 4
2022/5/5, 39, 21, 33, 11, 1, 4
2022/5/6, 49, 17, 36, 8, 1, 4
2022/5/7, 38, 17, 37, 6, 1, 4
2022/5/8, 38, 15, 27, 11, 1, 4
2022/5/9, 32, 15, 35, 10, 1, 3
2022/5/10, 31, 22, 45, 14, 1, 3
2022/5/11, 41, 26, 43, 13, 1, 3
2022/5/12, 45, 21, 33, 12, 1, 3
2022/5/13, 35, 16, 40, 5, 1, 3
2022/5/14, 32, 16, 42, 9, 1, 2
2022/5/15, 27, 20, 43, 9, 1, 3
2022/5/16, 39, 29, 24, 15, 1, 4
2022/5/17, 52, 13, 35, 7, 1, 2
2022/5/18, 110, 16, 40, 11, 1, 2
2022/5/19, 28, 21, 45, 14, 2, 3
2022/5/20, 30, 19, 35, 7, , 3
2022/5/21, 35, 14, 33, , , 2
2022/5/22, 27, , , , , 
2022/4/1, 39, 16, 13, 10, 1, 4
2022/4/2, 53, 15, 26, 8, 1, 4
2022/4/3, 48, 14, 26, 13, 1, 4
2022/4/4, 38, 12, 23, 9, 1, 4
2022/4/5, 33, 11, 32, 13, 1, 5
2022/4/6, 22, 21, 23, 13, 1, 5
2022/4/7, 50, 14, 26, 8, 1, 4
2022/4/8, 37, 9, 22, 6, 1, 5
2022/4/9, 23, 7, 28, 5, 1, 4
2022/4/10, 25, 7, 27, 12, 1, 4
2022/4/11, 23, 18, 32, 17, 1, 6
2022/4/12, 43, 17, 34, 15, 1, 5
2022/4/13, 38, 21, 34, 21, 1, 6
2022/4/14, 45, 25, 25, 19, 1, 6
2022/4/15, 52, 10, 16, 8, 1, 5
2022/4/16, 30, 6, 28, 6, 1, 4
2022/4/17, 18, 7, 27, 6, 1, 4
2022/4/18, 21, 10, 25, 9, 1, 5
2022/4/19, 30, 14, 50, 13, 1, 4
2022/4/20, 40, 26, 35, 17, 1, 4
2022/4/21, 59, 21, 23, 12, 1, 3
2022/4/22, 55, 16, 23, 8, 1, 4
2022/4/23, 44, 13, 25, 5, 1, 4
2022/4/24, 31, 11, 26, 8, 1, 4
2022/4/25, 30, 11, 30, 12, 1, 4
2022/4/26, 29, 15, 22, 11, 1, 4
2022/4/27, 39, 12, 28, 11, 1, 4
2022/4/28, 29, 17, 38, 14, 1, 3
2022/4/29, 39, 20, 37, 13, 1, 4
2022/4/30, 46, 15, 37, 10, 1, 3
2022/3/1, 34, 20, 25, 23, 1, 5
2022/3/2, 40, 34, 23, 24, 2, 6
2022/3/3, 65, 60, 3, 40, 3, 13
2022/3/4, 108, 23, 7, 13, 1, 4
2022/3/5, 59, 12, 1, 8, 1, 3
2022/3/6, 35, 27, 25, 15, 2, 5
2022/3/7, 64, 27, 20, 19, 2, 5
2022/3/8, 54, 28, 23, 20, 2, 5
2022/3/9, 67, 20, 28, 8, 1, 3
2022/3/10, 46, 15, 28, 14, 1, 4
2022/3/11, 39, 20, 29, 15, 2, 5
2022/3/12, 46, 33, 31, 21, 2, 7
2022/3/13, 73, 32, 31, 20, 3, 6
2022/3/14, 69, 32, 31, 13, 5, 5
2022/3/15, 69, 32, 20, 13, 2, 5
2022/3/16, 74, 32, 26, 18, 1, 6
2022/3/17, 74, 40, 21, 19, 2, 6
2022/3/18, 86, 38, 31, 14, 1, 5
2022/3/19, 83, 23, 29, 8, 1, 3
2022/3/20, 53, 31, 32, 24, 2, 5
2022/3/21, 63, 36, 34, 26, 3, 5
2022/3/22, 67, 54, 33, 23, 2, 4
2022/3/23, 63, 41, 35, 26, 2, 6
2022/3/24, 68, 29, 31, 24, 2, 5
2022/3/25, 51, 32, 34, 15, 1, 5
2022/3/26, 49, 26, 27, 8, 1, 4
2022/3/27, 45, 31, 30, 14, 1, 5
2022/3/28, 45, 36, 33, 16, 1, 4
2022/3/29, 50, 40, 25, 10, 1, 3
2022/3/30, 62, 29, 17, 11, 1, 4
2022/3/31, 57, 14, 10, 11, 1, 5
2022/2/1, 55, 10, , 7, 1, 4
2022/2/2, 33, 13, 16, 13, 1, 4
2022/2/3, 33, 23, 19, 15, 3, 5
2022/2/4, 52, 38, 27, 17, 2, 7
2022/2/5, 85, 12, 21, 9, 1, 3
2022/2/6, 28, 9, 25, 6, 1, 2
2022/2/7, 30, 12, 21, 7, 1, 2
2022/2/8, 30, 11, 14, 21, 1, 6
2022/2/9, 22, 34, 18, 23, 1, 8
2022/2/10, 71, 32, 22, 16, 1, 5
