date, pm25, pm10, o3, no2, so2, co
2022/10/1, 56, 5, 26, 3, 1, 3
2022/10/2, 17, 7, 22, 3, 1, 2
2022/10/3, 19, 8, 20, 6, , 2
2022/10/4, 24, 16, 21, 11, 1, 4
2022/10/5, 51, 31, 15, 17, 2, 4
2022/10/6, 65, 27, 27, 12, 1, 4
2022/10/7, 66, 27, 28, 12, 1, 5
2022/10/8, 68, 28, 26, 8, 1, 4
2022/10/9, 72, 15, 22, 11, 1, 4
2022/10/10, 33, 34, 19, 15, 1, 5
2022/10/11, 71, 37, 14, 13, 1, 6
2022/10/12, 81, 38, 22, 13, 1, 6
2022/10/13, 84, 39, 25, 13, 1, 8
2022/10/14, 89, 33, 27, 8, 3, 7
2022/10/15, 73, 23, 29, 10, 3, 7
2022/10/16, 58, 32, 27, 15, 2, 8
2022/10/17, 70, 34, 29, 16, 2, 9
2022/10/18, 71, 28, 27, 12, 1, 8
2022/10/19, 61, 23, 18, 15, 1, 9
2022/10/20, 55, 32, 20, 14, 1, 11
2022/10/21, 69, 33, 11, 13, 2, 10
2022/10/22, 72, 22, 16, 7, 1, 9
2022/10/23, 67, 20, 8, 5, 1, 9
2022/10/24, 63, , , , , 
2022/9/1, 22, 10, 30, 5, 1, 1
2022/9/2, 21, 14, 39, 10, 1, 2
2022/9/3, 41, 14, 27, 9, , 2
2022/9/4, 45, 19, 47, 14, 1, 2
2022/9/5, 51, 18, 46, 8, 1, 1
2022/9/6, 42, 26, 52, 11, 3, 1
2022/9/7, 62, 29, 41, 12, 2, 1
2022/9/8, 66, 7, 35, 8, 1, 2
2022/9/9, 20, 8, 34, 4, 1, 1
2022/9/10, 25, 3, 29, 3, 1, 1
2022/9/11, 11, 9, 30, 7, 1, 1
2022/9/12, 28, 18, 35, 14, 1, 3
2022/9/13, 43, 20, 28, 14, 1, 4
2022/9/14, 48, 12, 28, 12, 1, 4
2022/9/15, 34, 13, 22, 7, 1, 4
2022/9/16, 36, 9, 20, 4, 1, 3
2022/9/17, 28, 4, 26, 2, 1, 3
2022/9/18, 11, 2, 23, 4, 1, 3
2022/9/19, 8, 5, 23, 4, 1, 3
2022/9/20, 16, 8, 23, 8, 1, 3
2022/9/21, 25, 12, 15, 13, 1, 3
2022/9/22, 33, 15, 32, 11, , 4
2022/9/23, 45, , , , , 
2022/9/26, 60, 21, 18, 8, 1, 4
2022/9/27, 58, 6, 27, 5, 2, 3
2022/9/28, 15, 10, 16, 11, 1, 4
2022/9/29, 33, 12, 15, 10, 1, 4
