date, pm25, pm10, o3, no2, so2, co
2022/10/1, 50, 4, 23, 3, , 
2022/10/2, 13, 6, 21, 3, , 
2022/10/3, 15, 8, 18, 4, , 
2022/10/4, 22, 15, 17, 11, , 
2022/10/5, 49, 23, 27, 12, , 
2022/10/6, 60, , , , , 
2022/10/10, 30, 28, 22, 14, , 
2022/10/11, 62, 27, 20, 14, , 
2022/10/12, 68, 30, 23, 16, , 
2022/10/13, 72, 33, 24, 16, , 
2022/10/14, 80, 26, 23, 10, , 
2022/10/15, 66, 19, 26, 8, , 
2022/10/16, 50, 26, 26, 17, , 
2022/10/17, 58, 31, 26, 19, , 
2022/10/18, 64, 22, 29, 9, , 
2022/10/19, 47, 17, 20, 14, , 
2022/10/20, 41, 21, 18, 13, , 
2022/10/21, 52, 28, 13, 11, , 
2022/10/22, 66, 15, 13, 7, , 
2022/10/23, 56, 16, 8, 7, , 
2022/10/24, 57, , , , , 
2022/9/1, 14, 8, 32, 6, , 3
2022/9/2, 17, 13, 37, 10, , 3
2022/9/3, 34, 12, 27, 9, , 4
2022/9/4, 40, 14, 35, 17, , 4
2022/9/5, 40, 15, 39, 11, , 3
2022/9/6, 36, 21, 46, 8, , 4
2022/9/7, 57, 22, 39, 13, , 4
2022/9/8, 50, 7, 33, 6, , 3
2022/9/9, 16, 5, 33, 3, , 3
2022/9/10, 14, 3, 28, 3, , 3
2022/9/11, 9, 8, 32, 3, , 3
2022/9/12, 22, 13, 38, 8, , 3
2022/9/13, 26, 19, 21, 17, , 3
2022/9/14, 43, 9, 24, 9, , 4
2022/9/15, 25, 10, 13, 8, , 4
2022/9/16, 31, 7, 18, 3, , 3
2022/9/17, 22, 3, 19, 2, , 3
2022/9/18, 9, 3, 22, 5, , 3
2022/9/19, 8, 4, 22, 3, , 3
2022/9/20, 13, 6, 25, 5, , 3
2022/9/21, 18, 8, 20, 12, , 4
2022/9/22, 23, 11, 32, 13, , 4
2022/9/23, 36, , , , , 
2022/9/26, 57, 14, 21, 10, , 4
2022/9/27, 47, 5, 21, 10, , 3
2022/9/28, 14, 7, 19, 10, , 4
2022/9/29, 27, 8, 17, 11, , 5
2022/9/30, 35, 13, 17, 9, , 4
2022/8/1, 24, 10, 49, 9, , 6
2022/8/2, 24, 12, 62, 8, , 7
2022/8/3, 28, 16, 60, 10, , 7
2022/8/4, 27, 19, 65, 9, , 6
2022/8/5, 28, 22, 57, 9, , 7
2022/8/6, 32, 8, 44, 4, , 7
2022/8/7, 17, 12, 35, 7, , 7
2022/8/8, 26, 15, 43, 7, , 7
2022/8/9, 32, 12, 35, 5, , 6
2022/8/10, 15, 10, 35, 4, , 6
2022/8/11, 12, 10, 37, 5, , 7
2022/8/12, 17, 14, 46, 5, , 7
2022/8/13, 34, 13, 51, 5, , 7
2022/8/14, 32, 14, 48, 11, , 7
2022/8/15, 34, 18, 48, 10, , 6
2022/8/16, 32, 19, 61, 14, , 4
2022/8/17, 30, 26, 59, 11, , 4
2022/8/18, 41, 27, 54, 5, , 4
2022/8/19, 44, 14, 31, 6, , 4
