date, pm25, pm10, o3, no2, so2, co
2022/10/1, 45, 4, 11, 7, , 3
2022/10/2, 12, 6, 11, 6, , 3
2022/10/3, 16, 8, 9, 8, , 3
2022/10/4, 23, 24, 5, 11, , 6
2022/10/5, 61, 18, 2, 9, , 4
2022/10/6, 58, , , , , 
2022/10/10, 37, 31, 11, 15, , 4
2022/10/11, 69, 33, , 13, , 5
2022/10/12, 79, 38, , 12, , 6
2022/10/13, 87, 38, , 15, , 4
2022/10/14, 89, 27, , 11, , 2
2022/10/15, 67, 18, , 10, , 2
2022/10/16, 49, 26, , 14, , 3
2022/10/17, 61, 34, , 15, , 4
2022/10/18, 74, 29, , 13, , 3
2022/10/19, 65, 18, , 12, , 3
2022/10/20, 47, 26, , 12, , 3
2022/10/21, 58, 30, , 13, , 3
2022/10/22, 68, 17, , 8, , 3
2022/10/23, 59, 17, , 7, , 2
2022/10/24, 59, , , , , 
2022/9/1, 17, 8, 16, 11, , 3
2022/9/2, 18, 14, 20, 12, , 3
2022/9/3, 37, 10, 17, 11, , 3
2022/9/4, 35, 12, 29, 13, , 3
2022/9/5, 39, 12, 28, 14, , 3
2022/9/6, 33, 20, 26, 19, , 4
2022/9/7, 55, 21, 22, 19, , 4
2022/9/8, 47, 5, 19, 13, , 3
2022/9/9, 16, 7, 20, 11, , 3
2022/9/10, 25, 3, 15, 8, , 3
2022/9/11, 13, 8, 16, 10, , 3
2022/9/12, 26, 12, 21, 13, , 3
2022/9/13, 26, 17, 11, 21, , 4
2022/9/14, 39, 9, 14, 15, 2, 3
2022/9/15, 25, 11, 6, 11, 2, 4
2022/9/16, 32, 7, 9, 8, 2, 3
2022/9/17, 20, 4, 13, 7, 2, 3
2022/9/18, 8, 2, 10, 9, 2, 3
2022/9/19, 7, 4, 11, 8, 2, 3
2022/9/20, 14, 7, 12, 9, 2, 3
2022/9/21, 22, 9, 6, 12, , 3
2022/9/22, 31, 16, 11, 13, 2, 4
2022/9/23, 48, , , , , 
2022/9/26, 53, 18, 7, 10, 2, 4
2022/9/27, 56, 5, 10, 9, 2, 3
2022/9/28, 15, 9, 5, 12, 2, 4
2022/9/29, 33, 11, 3, 11, 2, 4
2022/9/30, 39, 12, 7, 8, 2, 4
2022/8/1, 26, 10, 35, 20, 1, 3
2022/8/2, 27, 11, 37, 19, 2, 3
2022/8/3, 31, 11, 41, 20, 2, 3
2022/8/4, 27, 13, 44, 16, 2, 3
2022/8/5, 25, 15, 39, 22, 2, 3
2022/8/6, 34, 6, 30, 14, 1, 2
2022/8/7, 16, 10, 21, 20, 2, 3
2022/8/8, 24, 12, 25, 19, 2, 2
2022/8/9, 31, 9, 23, 15, 1, 2
2022/8/10, 16, 7, 21, 17, 1, 2
2022/8/11, 14, 9, 24, 19, 1, 2
2022/8/12, 19, 13, 33, 20, 2, 3
2022/8/13, 37, 11, 35, 19, 2, 3
2022/8/14, 32, 13, 32, 23, 2, 3
2022/8/15, 33, 17, 35, 24, , 2
2022/8/16, 33, 11, 44, 23, 2, 2
2022/8/17, 29, 16, 42, 21, 2, 2
2022/8/18, 38, 23, 38, 15, 2, 2
2022/8/19, 45, 13, 18, 18, 2, 2
2022/8/20, 43, 8, 13, 19, 1, 2
2022/8/21, 29, 8, 22, 19, 2, 2
2022/8/22, 28, 9, 23, 19, 1, 2
2022/8/23, 31, 13, 21, 18, 1, 2
2022/8/24, 41, 18, 34, 20, 2, 2
2022/8/25, 44, 25, 34, 18, 2, 2
2022/8/26, 44, 25, 41, 23, 2, 2
2022/8/27, 45, 13, 33, 15, 2, 1
2022/8/28, 28, 10, 23, 18, 1, 2
2022/8/29, 31, 12, 26, 20, 2, 2
2022/8/30, 34, 13, 28, 13, 2, 3
2022/8/31, 28, 7, 13, 13, 2, 3
2022/7/1, 48, 29, 31, 10, 2, 2
2022/7/2, 31, 15, 40, 14, 2, 2
2022/7/3, 34, 13, 38, 16, 2, 2
2022/7/4, 26, 10, 26, 14, , 2
2022/7/5, 21, 9, 32, 13, 2, 2
2022/7/6, 29, 11, 31, 17, 2, 2
2022/7/7, 24, 11, 29, 14, 2, 2
2022/7/8, 25, 8, 24, 13, 2, 2
2022/7/9, 19, 6, 21, 11, 2, 2
2022/7/10, 13, 7, 24, 12, 2, 2
2022/7/11, 16, 8, 22, 16, 2, 2
2022/7/12, 17, 11, 29, 11, 2, 2
2022/7/13, 13, 11, 35, 15, 2, 1
2022/7/14, 13, 10, 24, 17, 2, 2
2022/7/15, 21, 9, 31, 16, 2, 2
2022/7/16, 19, 5, 24, 14, 2, 2
2022/7/17, 13, 10, 32, 17, 2, 2
2022/7/18, 15, 17, 40, 24, 2, 2
2022/7/19, 27, 19, 45, 25, 2, 2
2022/7/20, 31, 19, 14, 32, 2, 3
2022/7/21, 36, 20, 53, 18, 2, 2
2022/7/22, 28, 27, 48, 19, 2, 2
2022/7/23, 48, 11, 36, 13, 2, 2
2022/7/24, 32, 15, 42, 17, 2, 2
2022/7/25, 30, 17, 25, 24, 2, 3
2022/7/26, 45, 11, 33, 18, 2, 3
2022/7/27, 31, 12, 38, 19, 2, 3
2022/7/28, 29, 14, 36, 18, 2, 3
2022/7/29, 30, 10, 24, 16, 1, 3
2022/7/30, 29, 7, 18, 15, 1, 3
2022/7/31, 23, 9, 30, 21, 2, 3
2022/6/1, 18, 11, 45, 15, 1, 3
2022/6/2, 31, 11, 45, 13, 2, 3
