date, pm25, pm10, o3, no2, so2, co
2022/10/1, 48, 17, 16, 11, , 4
2022/9/2, 18, 17, 38, 13, 2, 3
2022/9/3, 33, 15, 25, 14, , 3
2022/9/4, 40, 15, 25, 14, , 3
2022/9/5, 42, 17, 39, 17, 2, 3
2022/9/6, 39, 19, 37, 15, 2, 3
2022/9/7, 56, 27, 45, 15, 5, 3
2022/9/8, 56, 34, 34, 15, 3, 4
2022/9/9, 21, 14, 29, 12, 3, 3
2022/9/10, 19, 12, 30, 7, 3, 3
2022/9/11, 11, 6, 27, 4, 2, 2
2022/9/12, 23, 7, 27, 7, 3, 3
2022/9/13, 32, 16, 35, 15, 3, 3
2022/9/14, 45, 26, 22, 20, 3, 4
2022/9/15, 25, 16, 26, 10, 2, 4
2022/9/16, 29, 11, 19, 7, 2, 3
2022/9/17, 17, 8, 19, 5, 2, 2
2022/9/18, 9, 5, 24, 3, 2, 2
2022/9/19, 7, 6, 21, 5, 3, 2
2022/9/20, 15, 6, 20, 6, 2, 3
2022/9/21, 22, 7, 21, 7, , 3
2022/9/22, 25, 11, 20, 9, , 3
2022/9/23, 36, 12, 28, 12, , 3
2022/9/26, 47, 21, 17, 13, , 5
2022/9/27, 52, 22, 15, 13, , 5
2022/9/28, 15, 8, 23, 10, , 3
2022/9/29, 25, 15, 16, 14, , 4
2022/9/30, 36, 15, 15, 12, , 4
2022/8/1, 29, 12, , 12, , 4
2022/8/2, 26, 16, 58, 14, 2, 5
2022/8/3, 30, 17, , 19, , 5
2022/8/4, 31, 23, 72, 28, 2, 5
2022/8/5, 35, 21, , 19, , 5
2022/8/6, 36, 8, , 7, , 4
2022/8/7, 17, 13, 29, 12, 2, 4
2022/8/8, 26, 14, 18, 12, 2, 4
2022/8/9, 31, 11, 33, 11, 2, 4
2022/8/10, 17, 12, 32, 9, 2, 4
2022/8/11, 18, 12, 36, 10, 2, 3
2022/8/12, 20, 17, 46, 12, 2, 3
2022/8/13, 33, 16, 51, 15, 2, 3
2022/8/14, 42, 18, 14, 19, 2, 3
2022/8/15, 38, 22, , 21, 2, 3
2022/8/16, 37, 17, , 24, 2, 4
2022/8/17, 32, 24, , 19, 2, 4
2022/8/18, 41, 29, 45, 13, 2, 3
2022/8/19, 46, 21, 27, 8, 2, 3
2022/8/20, 50, 13, 22, 5, 2, 3
2022/8/21, 20, 12, 29, 9, 2, 3
2022/8/22, 25, 14, 31, 8, 2, 3
2022/8/23, 35, 22, 25, 11, 2, 4
2022/8/24, 41, 22, 48, 11, 2, 3
2022/8/25, 45, 33, 52, 14, 2, 4
2022/8/26, 49, 40, 57, 16, 2, 4
2022/8/27, 45, 21, 48, 7, 2, 3
2022/8/28, 40, 18, 33, 8, 2, 3
2022/8/29, 24, 14, 43, 12, 2, 4
2022/8/30, 37, 17, 39, 14, 2, 3
2022/8/31, 33, 11, 23, 10, 2, 3
2022/7/1, 53, , , , , 
2022/7/2, 32, , , , , 
2022/7/3, 36, 9, 39, 8, 2, 3
2022/7/4, 32, 8, 36, , 2, 3
2022/7/5, 33, 16, 36, , 2, 3
2022/7/6, 26, 13, 45, 5, , 
2022/7/7, 30, 12, 39, 6, , 
2022/7/8, 34, 10, 33, 4, , 
2022/7/9, 24, 9, 29, 2, , 
2022/7/10, 18, 6, 21, 3, , 
2022/7/11, 22, 11, 29, 7, , 
2022/7/12, 20, 8, 38, 5, , 
2022/7/13, 21, 14, 48, 10, 2, 2
2022/7/14, 22, 14, 35, 7, 2, 2
2022/7/15, 24, 12, , 8, 2, 2
2022/7/16, 21, 8, , 4, 2, 2
2022/7/17, 12, 12, , 10, 2, 3
2022/7/18, 18, 23, , 17, 2, 3
2022/7/19, 23, 25, , 22, 4, 4
2022/7/20, 33, 25, 40, 17, 3, 3
