date, pm25, pm10, o3, no2, so2, co
2022/9/2, 18, 14, 40, 4, 1, 3
2022/9/3, 33, 12, 32, 4, 1, 3
2022/9/4, 40, 12, 32, 4, 1, 3
2022/9/5, 42, 16, 44, 8, , 3
2022/9/6, 39, 17, 43, 7, 1, 3
2022/9/7, 56, 18, 49, 7, 1, 3
2022/9/8, 56, 27, 38, 7, 1, 3
2022/9/9, 21, 8, 36, 3, 1, 3
2022/9/10, 19, 9, 36, 2, , 3
2022/9/11, 11, 5, 32, 1, 1, 3
2022/9/12, 23, 9, 34, 2, 1, 3
2022/9/13, 32, 10, 38, 7, 1, 3
2022/9/14, 45, 16, 24, 12, 1, 3
2022/9/15, 25, 12, 29, 4, 1, 3
2022/9/16, 29, 11, 23, 3, 1, 3
2022/9/17, 17, 8, 23, 1, 1, 3
2022/9/18, 9, 7, 27, 1, 1, 3
2022/9/19, 7, 6, 25, 1, 1, 3
2022/9/20, 15, 5, 23, 2, 1, 3
2022/9/21, 22, 7, 26, 2, 1, 3
2022/9/22, 25, 8, 18, 6, 1, 4
2022/9/23, 36, 11, 28, 6, 1, 4
2022/9/26, 47, 11, 22, 6, 1, 4
2022/9/27, 52, 14, 22, 5, 1, 4
2022/9/28, 15, 8, 28, 3, 1, 3
2022/9/29, 25, 8, 21, 4, 1, 3
2022/9/30, 47, 12, 17, 5, 1, 4
2022/8/1, 29, 12, 47, 4, , 3
2022/8/2, 26, 12, 62, 5, , 3
2022/8/3, 30, 15, 75, 6, , 3
2022/8/4, 31, 19, 80, 8, 1, 3
2022/8/5, 35, 18, 64, 3, 1, 3
2022/8/6, 36, 9, 46, 2, , 3
2022/8/7, 17, 12, 34, 3, , 3
2022/8/8, 26, 14, 44, 3, , 3
2022/8/9, 31, 14, 38, 1, , 3
2022/8/10, 17, 7, 36, 2, , 3
2022/8/11, 18, 8, 41, 3, , 2
2022/8/12, 20, 13, 47, 2, , 2
2022/8/13, 33, 15, 54, 3, 1, 3
2022/8/14, 42, 13, 54, 6, 1, 3
2022/8/15, 38, 17, 53, 6, 1, 3
2022/8/16, 37, 16, 65, 5, 1, 3
2022/8/17, 32, 19, 72, 6, 1, 3
2022/8/18, 41, 24, 64, 3, , 3
2022/8/19, 46, 20, 30, 2, 1, 3
2022/8/20, 50, 11, 26, 2, 1, 3
2022/8/21, 20, 7, 28, 3, , 3
2022/8/22, 25, 10, 35, 3, 1, 3
2022/8/23, 35, 15, 36, 3, , 3
2022/8/24, 41, 19, 54, 3, , 3
2022/8/25, 45, 29, 61, 5, 1, 3
2022/8/26, 49, 28, 65, 5, 1, 3
2022/8/27, 45, 18, 53, 2, , 3
2022/8/28, 40, 13, 41, 2, 1, 3
2022/8/29, 26, 13, 48, 5, 1, 3
2022/8/30, 37, 14, 52, 5, , 3
2022/8/31, 33, 11, 28, 4, 1, 3
2022/7/1, 53, 20, 44, 1, , 
2022/7/2, 32, 15, 52, 2, , 1
2022/7/3, 36, 11, 53, 3, , 1
