date, pm25, pm10, o3, no2, so2, co
2022/9/2, 18, 19, 49, 16, 1, 3
2022/9/3, 33, 18, 37, 13, 1, 3
2022/9/4, 40, 18, 37, 13, 1, 3
2022/9/5, 42, 20, 68, 17, 1, 3
2022/9/6, 39, 28, 58, 18, 1, 3
2022/9/7, 56, 29, 51, 20, 3, 3
2022/9/8, 56, 39, 48, , 2, 4
2022/9/9, 21, 16, 35, 15, 1, 3
2022/9/10, 19, 17, 43, 8, 1, 3
2022/9/11, 11, 6, 36, 7, 1, 3
2022/9/12, 23, 16, 41, 5, 1, 3
2022/9/13, 32, 18, 45, 17, 1, 4
2022/9/14, 45, 31, 29, 23, 2, 5
2022/9/15, 25, 26, 31, 14, 2, 4
2022/9/16, 29, 13, 31, 7, 1, 3
2022/9/17, 17, 15, 27, 6, 1, 3
2022/9/18, 9, 9, 33, 5, 1, 3
2022/9/19, 7, 8, 28, 9, 2, 3
2022/9/20, 15, 13, 27, 8, 1, 4
2022/9/21, 22, 18, 28, 8, 1, 3
2022/9/22, 25, 10, 21, , , 2
2022/9/23, 36, 17, 38, 12, 1, 
2022/9/26, 47, 18, 25, 9, 1, 
2022/9/27, 52, 22, 25, 10, 1, 
2022/9/28, 15, 10, 30, 9, 1, 12
2022/9/29, 25, 12, 19, 10, 2, 
2022/9/30, 47, 21, 14, 9, 3, 
2022/8/1, 29, 19, 47, 7, 2, 4
2022/8/2, 26, 18, 67, 9, 2, 5
2022/8/3, 30, 18, 65, 11, 2, 5
2022/8/4, 31, , 78, 15, 2, 5
2022/8/5, 35, , 50, 11, 2, 5
2022/8/6, 36, , 44, 2, 2, 4
2022/8/7, 17, , 34, 6, 2, 4
2022/8/8, 26, , 41, 6, 2, 4
2022/8/9, 31, 10, 36, 11, 2, 4
2022/8/10, 17, 12, 36, 10, 2, 4
2022/8/11, 18, 12, 38, 11, 2, 3
2022/8/12, 20, 18, 48, 13, 2, 3
2022/8/13, 33, 14, 49, 16, 2, 3
2022/8/14, 42, 18, 47, 21, 2, 4
2022/8/15, 38, 25, 32, 25, 2, 3
2022/8/16, 37, 22, 68, 21, 2, 4
2022/8/17, 32, 21, 59, 26, 1, 4
2022/8/18, 41, 37, 61, 20, 1, 3
2022/8/19, 46, 20, 42, 7, 1, 3
2022/8/20, 50, 9, 32, 7, 1, 3
2022/8/21, 20, 13, 46, 10, 1, 3
2022/8/22, 24, 13, 44, 10, 1, 3
2022/8/23, 35, 11, 42, 9, 1, 4
2022/8/24, 41, 12, 87, 11, 1, 3
2022/8/25, 45, 23, 89, 18, 1, 3
2022/8/26, 49, , 103, 18, 1, 3
2022/8/27, 45, , 73, 10, 1, 3
2022/8/28, 40, , 42, 6, 1, 3
2022/8/29, 26, , 55, 16, 1, 4
2022/8/30, 37, 27, 58, 17, 1, 2
2022/8/31, 33, 11, 36, 9, 1, 
2022/7/1, 53, 96, 33, 7, 4, 3
2022/7/2, 32, 16, 38, 13, 4, 3
2022/7/3, 36, 51, 31, 22, 4, 3
2022/7/4, 32, 22, , , , 
2022/7/5, 33, 13, 33, 12, 4, 2
2022/7/6, 26, 14, 31, 18, 5, 2
2022/7/7, 30, 16, 32, 10, 5, 3
2022/7/8, 34, 10, 29, 7, 5, 3
2022/7/9, 24, 11, 25, 4, 5, 2
2022/7/10, 18, 16, 25, 11, 5, 3
2022/7/11, 22, 33, 21, 12, 5, 4
2022/7/12, 20, 18, 26, 13, 5, 5
2022/7/13, 21, 18, 26, 25, 5, 2
2022/7/14, 22, 19, 29, 13, 5, 2
2022/7/15, 24, 13, , , , 2
2022/7/16, 21, 6, , , , 2
2022/7/17, 12, 13, 35, 14, 5, 3
2022/7/18, 18, 16, 35, 21, 5, 3
2022/7/19, 23, 24, 30, 19, 5, 4
2022/7/20, 33, 26, 40, 45, 3, 3
2022/7/21, 31, 23, 25, 28, 2, 4
2022/7/22, 34, 26, 41, 17, 1, 4
2022/7/23, 47, 12, 60, 9, 1, 3
2022/7/24, 34, 17, 55, 17, 1, 3
2022/7/25, 32, 47, 41, 15, 2, 5
2022/7/26, 51, 16, 58, 10, 2, 4
2022/7/27, 35, 17, 40, 15, 2, 4
2022/7/28, 28, 21, 58, 17, 2, 4
2022/7/29, 31, 16, 46, 7, 2, 5
2022/7/30, 31, 9, 41, 5, 2, 4
2022/7/31, 26, 26, 49, 11, 2, 4
2022/6/1, 24, 14, 24, 12, 1, 3
