date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-18,39.0,6.0,18.0,4.0,2.0,4.0,,,,,,
2021-12-19,41.0,4.0,22.0,5.0,2.0,3.0,,,,,,
2021-12-20,17.0,10.0,21.0,11.0,2.0,5.0,,,,,,
2021-12-21,28.0,23.0,12.0,20.0,3.0,7.0,,,,,,
2021-12-22,67.0,25.0,17.0,16.0,3.0,7.0,,,,,,
2021-12-23,76.0,30.0,11.0,12.0,3.0,8.0,,,,,,
2021-12-24,103.0,14.0,24.0,9.0,2.0,7.0,,,,,,
2021-12-25,63.0,12.0,22.0,13.0,2.0,6.0,,,,,,
2021-12-26,33.0,23.0,12.0,21.0,3.0,8.0,,,,,,
2021-12-27,78.0,15.0,13.0,8.0,2.0,7.0,,,,,,
2021-12-28,61.0,18.0,3.9999999999999996,10.0,3.0,9.0,,,,,,
2021-12-29,67.0,18.0,5.0,10.0,2.0,9.0,,,,,,
2021-12-30,73.0,17.0,11.0,10.0,3.0,9.0,,,,,,
2021-12-31,69.0,15.0,20.0,5.0,2.0,7.0,,,,,,
2022-01-01,41.0,9.0,7.0,9.0,2.0,7.0,,,,,,
2022-01-02,53.0,8.0,24.0,8.0,2.0,6.0,,,,,,
2022-01-03,43.0,11.0,18.0,7.000000000000001,2.0,7.0,,,,,,
2022-01-04,46.0,8.0,25.0,9.0,2.0,7.0,,,,,,
2022-01-05,32.0,5.0,21.0,5.0,2.0,4.0,,,,,,
2022-01-06,18.0,15.0,17.0,16.0,3.0,7.0,,,,,,
2022-01-07,44.0,27.0,11.0,22.0,4.0,8.0,,,,,,
2022-01-08,82.0,27.0,14.0,13.0,3.0,7.0,,,,,,
2022-01-09,100.0,27.0,15.0,19.0,4.0,8.0,,,,,,
2022-01-10,84.0,12.0,19.0,14.000000000000002,3.0,5.0,,,,,,
2022-01-11,47.0,27.0,5.0,21.0,6.0,7.0,,,,,,
2022-01-12,72.0,28.0,12.0,16.0,4.0,7.0,,,,,,
2022-01-13,86.0,12.0,20.0,9.0,3.0,6.0,,,,,,
2022-01-14,50.0,16.0,25.0,12.0,3.0,8.0,,,,,,
2022-01-15,46.0,33.0,11.0,13.0,4.0,10.0,,,,,,
2022-01-16,108.0,9.0,26.999999999999996,6.0,3.0,5.0,,,,,,
2022-01-17,43.0,9.0,26.999999999999996,6.0,3.0,4.0,,,,,,
2022-01-18,32.0,25.0,15.0,22.0,4.0,8.0,,,,,,
2022-01-19,72.0,18.0,24.0,13.0,3.0,6.0,,,,,,
2022-01-20,61.0,6.0,26.0,6.0,3.0,4.0,,,,,,
2022-01-21,27.0,4.0,28.0,5.0,3.0,4.0,,,,,,
2022-01-22,20.0,10.0,24.0,12.0,3.0,6.0,,,,,,
2022-01-23,38.0,22.0,15.999999999999998,23.0,4.0,7.0,,,,,,
2022-01-24,77.0,27.0,12.0,17.0,4.0,8.0,,,,,,
