,pm25,pm10,o3,no2,so2,co,date
303,0.40625,0.125,0.3673469387755102,0.16,0.4,0.4,2021-12-18
304,0.4270833333333333,0.08333333333333333,0.4489795918367347,0.2,0.4,0.3,2021-12-19
305,0.17708333333333334,0.20833333333333334,0.42857142857142855,0.44,0.4,0.5,2021-12-20
306,0.2916666666666667,0.4791666666666667,0.24489795918367346,0.8,0.6,0.7,2021-12-21
307,0.6979166666666666,0.5208333333333334,0.3469387755102041,0.64,0.6,0.7,2021-12-22
308,0.7916666666666666,0.625,0.22448979591836735,0.48,0.6,0.8,2021-12-23
309,1.0729166666666667,0.2916666666666667,0.4897959183673469,0.36,0.4,0.7,2021-12-24
310,0.65625,0.25,0.4489795918367347,0.52,0.4,0.6,2021-12-25
311,0.34375,0.4791666666666667,0.24489795918367346,0.84,0.6,0.8,2021-12-26
312,0.8125,0.3125,0.2653061224489796,0.32,0.4,0.7,2021-12-27
313,0.6354166666666666,0.375,0.08163265306122448,0.4,0.6,0.9,2021-12-28
314,0.6979166666666666,0.375,0.10204081632653061,0.4,0.4,0.9,2021-12-29
315,0.7604166666666666,0.3541666666666667,0.22448979591836735,0.4,0.6,0.9,2021-12-30
316,0.71875,0.3125,0.40816326530612246,0.2,0.4,0.7,2021-12-31
317,0.4270833333333333,0.1875,0.14285714285714285,0.36,0.4,0.7,2022-01-01
318,0.5520833333333334,0.16666666666666666,0.4897959183673469,0.32,0.4,0.6,2022-01-02
222,0.4479166666666667,0.22916666666666666,0.3673469387755102,0.28,0.4,0.7,2022-01-03
223,0.4791666666666667,0.16666666666666666,0.5102040816326531,0.36,0.4,0.7,2022-01-04
224,0.3333333333333333,0.10416666666666667,0.42857142857142855,0.2,0.4,0.4,2022-01-05
225,0.1875,0.3125,0.3469387755102041,0.64,0.6,0.7,2022-01-06
226,0.4583333333333333,0.5625,0.22448979591836735,0.88,0.8,0.8,2022-01-07
227,0.8541666666666666,0.5625,0.2857142857142857,0.52,0.6,0.7,2022-01-08
228,1.0416666666666667,0.5625,0.30612244897959184,0.76,0.8,0.8,2022-01-09
229,0.875,0.25,0.3877551020408163,0.56,0.6,0.5,2022-01-10
230,0.4895833333333333,0.5625,0.10204081632653061,0.84,1.2,0.7,2022-01-11
231,0.75,0.5833333333333334,0.24489795918367346,0.64,0.8,0.7,2022-01-12
232,0.8958333333333334,0.25,0.40816326530612246,0.36,0.6,0.6,2022-01-13
233,0.5208333333333334,0.3333333333333333,0.5102040816326531,0.48,0.6,0.8,2022-01-14
234,0.4791666666666667,0.6875,0.22448979591836735,0.52,0.8,1.0,2022-01-15
235,1.125,0.1875,0.5510204081632653,0.24,0.6,0.5,2022-01-16
236,0.4479166666666667,0.1875,0.5510204081632653,0.24,0.6,0.4,2022-01-17
237,0.3333333333333333,0.5208333333333334,0.30612244897959184,0.88,0.8,0.8,2022-01-18
238,0.75,0.375,0.4897959183673469,0.52,0.6,0.6,2022-01-19
239,0.6354166666666666,0.125,0.5306122448979592,0.24,0.6,0.4,2022-01-20
240,0.28125,0.08333333333333333,0.5714285714285714,0.2,0.6,0.4,2022-01-21
241,0.20833333333333334,0.20833333333333334,0.4897959183673469,0.48,0.6,0.6,2022-01-22
242,0.3958333333333333,0.4583333333333333,0.32653061224489793,0.92,0.8,0.7,2022-01-23
243,0.8020833333333334,0.5625,0.24489795918367346,0.68,0.8,0.8,2022-01-24
244,0.9375,0.4791666666666667,0.32653061224489793,0.56,0.8,0.8,2022-01-25
245,0.78125,0.3125,0.32653061224489793,0.32,0.6,0.7,2022-01-26
246,0.7083333333333334,0.125,0.5918367346938775,0.2,0.6,0.6,2022-01-27
247,0.3125,0.16666666666666666,0.5714285714285714,0.24,0.6,0.6,2022-01-28
248,0.3229166666666667,0.16666666666666666,0.673469387755102,0.12,0.6,0.6,2022-01-29
249,0.25,0.3333333333333333,0.6326530612244898,0.36,1.4,0.6,2022-01-30
250,0.4895833333333333,0.2916666666666667,0.4897959183673469,0.52,0.6,0.5,2022-01-31
194,0.5729166666666666,0.10416666666666667,0.5306122448979592,0.28,0.4,0.4,2022-02-01
195,0.28125,0.3125,0.5510204081632653,0.48,0.6,0.5,2022-02-02
196,0.4270833333333333,0.4791666666666667,0.4489795918367347,0.6,1.0,0.8,2022-02-03
197,0.75,0.5416666666666666,0.6122448979591837,0.6,0.6,0.8,2022-02-04
198,0.5,0.25,0.5102040816326531,0.44,0.4,0.6,2022-02-05
199,0.4583333333333333,0.14583333333333334,0.6326530612244898,0.2,0.4,0.4,2022-02-06
200,0.3020833333333333,0.14583333333333334,0.5510204081632653,0.2,0.4,0.4,2022-02-07
201,0.22916666666666666,0.25,0.46938775510204084,0.44,0.4,0.8,2022-02-08
202,0.2916666666666667,0.7291666666666666,0.32653061224489793,1.04,0.6,1.2,2022-02-09
203,0.75,0.5208333333333334,0.5510204081632653,0.6,0.4,0.8,2022-02-10
204,0.6666666666666666,0.22916666666666666,0.5714285714285714,0.4,0.4,0.6,2022-02-11
205,0.3958333333333333,0.3125,0.5510204081632653,0.6,0.8,0.7,2022-02-12
206,0.5520833333333334,0.4583333333333333,0.46938775510204084,0.4,0.8,0.7,2022-02-13
207,0.78125,0.3958333333333333,0.4897959183673469,0.36,1.2,0.5,2022-02-14
208,0.75,0.5,0.4489795918367347,0.44,0.4,0.3,2022-02-15
209,0.8020833333333334,0.14583333333333334,0.6938775510204082,0.24,0.4,0.2,2022-02-16
210,0.34375,0.16666666666666666,0.5918367346938775,0.24,0.4,0.2,2022-02-17
211,0.2708333333333333,0.1875,0.6326530612244898,0.28,0.4,0.2,2022-02-18
212,0.3645833333333333,0.25,0.5306122448979592,0.48,0.4,0.3,2022-02-19
213,0.3645833333333333,0.2708333333333333,0.3673469387755102,0.4,0.4,0.3,2022-02-20
214,0.53125,0.16666666666666666,0.5714285714285714,0.32,0.4,0.2,2022-02-21
215,0.28125,0.20833333333333334,0.6122448979591837,0.44,0.4,0.2,2022-02-22
216,0.3229166666666667,0.5833333333333334,0.6326530612244898,0.76,0.4,0.3,2022-02-23
217,0.5208333333333334,0.25,0.5918367346938775,0.4,0.3666666666666667,0.1,2022-02-24
218,0.3854166666666667,0.1875,0.5714285714285714,0.48,0.33333333333333337,0.1,2022-02-25
219,0.3229166666666667,0.25,0.6530612244897959,0.44,0.30000000000000004,0.1,2022-02-26
220,0.46875,0.20833333333333334,0.5102040816326531,0.36,0.2666666666666667,0.1,2022-02-27
221,0.375,0.25,0.6122448979591837,0.48,0.23333333333333336,0.4,2022-02-28
163,0.40625,0.375,0.5918367346938775,0.72,0.2,0.6,2022-03-01
164,0.5416666666666666,0.5416666666666666,0.6326530612244898,0.8,0.4,0.8,2022-03-02
165,0.8958333333333334,0.7916666666666666,0.5714285714285714,0.8,0.4,0.8,2022-03-03
166,1.0520833333333333,0.375,0.5714285714285714,0.52,0.2,0.6,2022-03-04
167,0.6458333333333334,0.22916666666666666,0.6530612244897959,0.36,0.2,0.5,2022-03-05
168,0.5,0.5,0.40816326530612246,0.68,0.4,0.7,2022-03-06
169,0.8645833333333334,0.5208333333333334,0.5714285714285714,0.84,0.4,0.8,2022-03-07
170,0.6875,0.4791666666666667,0.5918367346938775,0.72,0.4,0.8,2022-03-08
171,0.6458333333333334,0.2708333333333333,0.7142857142857143,0.36,0.4,0.5,2022-03-09
172,0.4583333333333333,0.3125,0.6938775510204082,0.48,0.4,0.6,2022-03-10
173,0.4375,0.3958333333333333,0.7142857142857143,0.72,0.4,0.8,2022-03-11
174,0.53125,0.40625,0.7346938775510204,0.96,0.4,1.0,2022-03-12
175,0.8020833333333334,0.41666666666666663,0.7755102040816326,0.88,0.4,0.9,2022-03-13
176,0.7291666666666666,0.4270833333333333,0.8163265306122449,0.68,0.4,0.9,2022-03-14
177,0.7708333333333334,0.4375,0.5510204081632653,0.52,0.4,0.7,2022-03-15
178,0.6770833333333334,0.6041666666666666,0.7959183673469388,0.76,0.4,0.7,2022-03-16
179,0.8958333333333334,0.7916666666666666,0.5102040816326531,0.8,0.4,0.7,2022-03-17
180,0.9895833333333334,0.625,0.8571428571428571,0.64,0.4,0.6,2022-03-18
181,0.9895833333333334,0.4375,0.8163265306122449,0.52,0.4,0.4,2022-03-19
182,0.6458333333333334,0.5416666666666666,0.8775510204081632,0.96,0.4,0.5,2022-03-20
183,0.6875,0.6458333333333334,0.9795918367346939,1.16,0.4,0.6,2022-03-21
184,0.6979166666666666,0.6666666666666666,0.9387755102040817,0.92,0.4,0.6,2022-03-22
185,0.6458333333333334,0.7083333333333334,1.0612244897959184,0.8,0.4,0.8,2022-03-23
186,0.6875,0.5208333333333334,0.9183673469387755,0.72,0.4,0.5,2022-03-24
187,0.5729166666666666,0.4583333333333333,0.9591836734693877,0.44,0.4,0.5,2022-03-25
188,0.6770833333333334,0.4375,0.8163265306122449,0.4,0.4,0.5,2022-03-26
189,0.6354166666666666,0.5625,0.8979591836734694,0.6,0.4,0.6,2022-03-27
190,0.6145833333333334,0.6458333333333334,1.0816326530612246,0.72,0.4,0.6,2022-03-28
191,0.7708333333333334,0.625,0.6122448979591837,0.4,0.4,0.4,2022-03-29
192,0.75,0.4791666666666667,0.4489795918367347,0.48,0.4,0.4,2022-03-30
193,0.7083333333333334,0.2916666666666667,0.24489795918367346,0.4,0.4,0.4,2022-03-31
133,0.6041666666666666,0.3125,0.32653061224489793,0.28,0.4,0.3,2022-04-01
134,0.71875,0.22916666666666666,0.6326530612244898,0.28,0.4,0.3,2022-04-02
135,0.59375,0.22916666666666666,0.5918367346938775,0.36,0.4,0.3,2022-04-03
136,0.5625,0.20833333333333334,0.5714285714285714,0.32,0.4,0.3,2022-04-04
137,0.4583333333333333,0.25,0.7346938775510204,0.52,0.4,0.4,2022-04-05
138,0.46875,0.4166666666666667,0.5306122448979592,0.76,0.4,0.5,2022-04-06
139,0.5,0.22916666666666666,0.6122448979591837,0.28,0.4,0.3,2022-04-07
140,0.3541666666666667,0.125,0.5306122448979592,0.2,0.4,0.3,2022-04-08
141,0.21875,0.10416666666666667,0.6938775510204082,0.16,0.4,0.3,2022-04-09
142,0.22916666666666666,0.16666666666666666,0.6938775510204082,0.32,0.4,0.3,2022-04-10
143,0.28125,0.375,0.7142857142857143,0.68,0.4,0.7,2022-04-11
144,0.4583333333333333,0.3541666666666667,0.7755102040816326,0.72,0.4,0.6,2022-04-12
145,0.53125,0.5,0.7346938775510204,0.88,0.4,0.7,2022-04-13
