date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-18,39.0,11.0,17.0,6.0,1.0,3.0,,,,,,
2021-12-19,43.0,5.0,18.0,8.0,1.0,2.0,,,,,,
2021-12-20,20.0,9.0,19.0,15.0,1.0,3.0,,,,,,
2021-12-21,29.0,24.0,12.0,20.0,1.0,5.0,,,,,,
2021-12-22,69.0,27.0,15.0,18.0,3.0,5.0,,,,,,
2021-12-23,77.0,33.0,7.999999999999999,15.0,2.0,5.0,,,,,,
2021-12-24,95.0,15.0,24.0,12.0,1.0,5.0,,,,,,
2021-12-25,56.0,12.0,24.0,13.0,1.0,5.0,,,,,,
2021-12-26,35.0,25.0,11.0,23.0,1.0,6.0,,,,,,
2021-12-27,73.0,18.0,12.0,11.0,1.0,6.0,,,,,,
2021-12-28,60.0,19.0,5.0,12.0,1.0,7.0,,,,,,
2021-12-29,65.0,20.0,5.0,11.0,1.0,7.0,,,,,,
2021-12-30,62.0,21.0,9.0,15.0,1.0,8.0,,,,,,
2021-12-31,65.0,16.0,17.0,8.0,1.0,5.0,,,,,,
2022-01-01,47.0,11.0,15.0,11.0,1.0,6.0,,,,,,
2022-01-02,43.0,13.0,20.0,15.0,1.0,6.0,,,,,,
2022-01-03,42.0,13.0,17.0,11.0,1.0,6.0,,,,,,
2022-01-04,46.0,7.0,23.0,13.0,1.0,5.0,,,,,,
2022-01-05,25.0,5.0,21.0,7.000000000000001,1.0,5.0,,,,,,
2022-01-06,17.0,13.0,15.999999999999998,15.0,1.0,6.0,,,,,,
2022-01-07,45.0,31.0,11.0,23.0,1.0,9.0,,,,,,
2022-01-08,87.0,35.0,14.0,17.0,1.0,8.0,,,,,,
2022-01-09,99.0,33.0,17.0,21.0,1.0,6.0,,,,,,
2022-01-10,92.0,17.0,20.0,13.0,1.0,1.0,,,,,,
2022-01-11,51.0,26.0,13.0,20.0,1.0,3.0,,,,,,
2022-01-12,73.0,35.0,15.0,21.0,1.0,4.0,,,,,,
2022-01-13,95.0,13.0,17.0,10.0,1.0,1.0,,,,,,
2022-01-14,47.0,14.0,21.0,14.000000000000002,1.0,2.0,,,,,,
2022-01-15,47.0,34.0,10.0,16.0,1.0,5.0,,,,,,
2022-01-16,100.0,16.0,26.999999999999996,9.0,1.0,1.0,,,,,,
2022-01-17,43.0,9.0,24.0,9.0,1.0,1.0,,,,,,
2022-01-18,30.0,30.0,9.0,25.0,1.0,4.0,,,,,,
2022-01-19,80.0,20.0,20.0,16.0,1.0,3.0,,,,,,
2022-01-20,59.0,7.0,23.0,8.0,1.0,1.0,,,,,,
2022-01-21,20.0,6.0,25.0,7.000000000000001,1.0,1.0,,,,,,
2022-01-22,19.0,11.0,22.0,11.0,1.0,2.0,,,,,,
2022-01-23,35.0,28.0,15.0,22.0,1.0,4.0,,,,,,
2022-01-24,73.0,37.0,6.0,23.0,1.0,6.0,,,,,,
2022-01-25,96.0,28.0,12.0,16.0,1.0,5.0,,,,,,
2022-01-26,83.0,23.0,13.0,12.0,1.0,3.0,,,,,,
2022-01-27,68.0,11.0,26.0,7.000000000000001,1.0,2.0,,,,,,
2022-01-28,26.0,8.0,14.0,7.000000000000001,1.0,3.0,,,,,,
2022-01-29,26.0,7.0,6.0,7.000000000000001,1.0,3.0,,,,,,
2022-01-30,19.0,16.0,3.9999999999999996,9.0,1.0,3.0,,,,,,
2022-01-31,43.0,14.0,1.9999999999999998,9.0,1.0,4.0,,,,,,
2022-02-01,50.0,7.0,3.9999999999999996,8.0,1.0,3.0,,,,,,
2022-02-02,27.0,13.0,3.0,9.0,1.0,5.0,,,,,,
2022-02-03,33.0,25.0,1.9999999999999998,9.0,3.0,6.0,,,,,,
2022-02-04,66.0,24.0,3.0,9.0,1.0,6.0,,,,,,
2022-02-05,60.0,17.0,0.9999999999999999,11.0,1.0,7.0,,,,,,
2022-02-06,53.0,8.0,5.0,8.0,1.0,3.0,,,,,,
2022-02-07,28.0,7.0,3.9999999999999996,7.000000000000001,1.0,3.0,,,,,,
2022-02-08,22.0,11.0,1.9999999999999998,8.0,1.0,5.0,,,,,,
2022-02-09,31.0,34.0,0.9999999999999999,9.0,1.0,8.0,,,,,,
2022-02-10,84.0,28.0,1.9999999999999998,10.0,1.0,5.0,,,,,,
2022-02-11,73.0,9.0,3.9999999999999996,6.0,1.0,3.0,,,,,,
2022-02-12,36.0,17.0,3.9999999999999996,8.0,2.0,4.0,,,,,,
2022-02-13,57.0,26.0,3.9999999999999996,9.0,4.0,4.0,,,,,,
2022-02-14,75.0,24.0,1.9999999999999998,8.0,2.0,4.0,,,,,,
2022-02-15,71.0,26.0,0.9999999999999999,7.000000000000001,1.0,5.0,,,,,,
2022-02-16,75.0,11.0,3.9999999999999996,7.000000000000001,1.0,4.0,,,,,,
2022-02-17,34.0,11.0,5.0,7.000000000000001,1.0,3.0,,,,,,
2022-02-18,25.0,7.0,3.0,6.0,1.0,4.0,,,,,,
2022-02-19,24.0,11.0,1.9999999999999998,8.0,1.0,4.0,,,,,,
2022-02-20,38.0,15.0,1.9999999999999998,7.000000000000001,1.0,3.0,,,,,,
2022-02-21,49.0,8.0,1.9999999999999998,7.000000000000001,1.0,2.0,,,,,,
2022-02-22,25.0,10.0,24.0,8.0,1.0,3.0,,,,,,
2022-02-23,33.0,21.0,28.0,9.0,1.0,5.0,,,,,,
2022-02-24,59.0,11.0,23.0,6.0,1.0,3.0,,,,,,
2022-02-25,39.0,10.0,23.0,6.0,2.0,3.0,,,,,,
2022-02-26,34.0,13.0,25.0,5.0,1.0,3.0,,,,,,
2022-02-27,45.0,12.0,19.0,6.0,1.0,4.0,,,,,,
2022-02-28,41.0,12.0,25.0,6.0,1.0,4.0,,,,,,
2022-03-01,43.0,21.0,25.0,7.000000000000001,1.0,4.0,,,,,,
2022-03-02,59.0,39.0,23.0,9.0,2.0,5.0,,,,,,
