date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-17,35.0,7.0,13.0,19.0,1.0,2.0,,,,,,
2021-12-18,42.0,7.0,14.0,17.0,1.0,2.0,,,,,,
2021-12-19,49.0,6.0,14.0,19.0,1.0,2.0,,,,,,
2021-12-20,22.0,7.0,15.999999999999998,23.0,1.0,3.0,,,,,,
2021-12-21,29.0,17.0,9.0,28.000000000000004,1.0,5.0,,,,,,
2021-12-22,66.0,20.0,10.0,27.0,1.0,5.0,,,,,,
2021-12-23,92.0,28.0,7.0,24.0,2.0,5.0,,,,,,
2021-12-24,93.0,17.0,14.0,25.0,1.9,5.0,,,,,,
2021-12-25,60.0,7.0,19.0,22.0,1.8000000000000003,3.0,,,,,,
2021-12-26,33.0,18.0,7.0,30.0,1.7000000000000002,5.0,,,,,,
2021-12-27,76.0,15.0,9.0,23.0,1.6,5.0,,,,,,
2021-12-28,59.0,14.0,3.9999999999999996,21.0,1.5000000000000002,6.0,,,,,,
2021-12-29,62.0,18.0,3.0,21.0,1.4000000000000001,6.0,,,,,,
2021-12-30,70.0,25.0,6.0,24.0,1.3,8.0,,,,,,
2021-12-31,57.0,16.0,13.0,18.0,1.2000000000000002,4.0,,,,,,
2022-01-01,38.0,17.0,6.0,26.0,1.1,6.0,,,,,,
2022-01-02,52.0,13.0,20.0,21.0,1.0,4.0,,,,,,
2022-01-03,42.0,11.0,14.0,19.0,1.0,4.0,,,,,,
2022-01-04,46.0,6.0,25.0,17.0,1.0,3.0,,,,,,
2022-01-05,25.0,5.0,22.0,7.000000000000001,1.0,2.0,,,,,,
2022-01-06,21.0,12.0,15.0,16.0,1.0,3.0,,,,,,
2022-01-07,46.0,17.0,9.0,20.0,1.0,5.0,,,,,,
2022-01-08,81.0,27.0,13.0,15.0,1.0,5.0,,,,,,
2022-01-09,98.0,24.0,17.0,15.0,1.0,5.0,,,,,,
2022-01-10,97.0,10.0,21.0,11.0,1.0,3.0,,,,,,
2022-01-11,52.0,21.0,12.0,17.0,2.0,3.0,,,,,,
2022-01-12,74.0,24.0,15.0,15.0,2.0,3.0,,,,,,
2022-01-13,87.0,11.0,18.0,10.0,1.0,2.0,,,,,,
2022-01-14,51.0,12.0,23.0,11.0,1.0,2.0,,,,,,
2022-01-15,47.0,30.0,7.999999999999999,16.0,1.0,6.0,,,,,,
2022-01-16,103.0,11.0,28.0,7.000000000000001,1.0,2.0,,,,,,
2022-01-17,42.0,9.0,26.999999999999996,7.000000000000001,1.0,3.0,,,,,,
2022-01-18,35.0,22.0,13.0,19.0,1.0,5.0,,,,,,
2022-01-19,76.0,17.0,23.0,13.0,1.0,3.0,,,,,,
2022-01-20,56.0,6.0,26.0,7.000000000000001,1.0,1.0,,,,,,
2022-01-21,23.0,5.0,28.0,6.0,1.0,2.0,,,,,,
2022-01-22,21.0,7.0,25.0,10.0,1.0,2.0,,,,,,
2022-01-23,37.0,17.0,13.0,19.0,2.0,4.0,,,,,,
2022-01-24,66.0,22.0,11.0,17.0,2.0,5.0,,,,,,
2022-01-25,98.0,20.0,14.0,11.0,2.0,3.0,,,,,,
2022-01-26,74.0,17.0,15.999999999999998,9.0,1.7500000000000002,1.0,,,,,,
2022-01-27,69.0,7.0,26.999999999999996,6.0,1.5000000000000002,1.0,,,,,,
2022-01-28,29.0,8.0,29.0,6.0,1.25,1.0,,,,,,
2022-01-29,31.0,7.0,33.0,4.0,1.0,2.0,,,,,,
2022-01-30,25.0,13.0,31.999999999999996,9.0,1.0,2.0,,,,,,
2022-01-31,38.0,11.0,22.0,11.0,1.0,3.0,,,,,,
2022-02-01,48.0,6.0,29.0,7.000000000000001,1.0,3.0,,,,,,
2022-02-02,23.0,10.0,26.0,12.0,1.0,3.0,,,,,,
2022-02-03,30.0,20.0,19.0,16.0,3.0,6.0,,,,,,
2022-02-04,71.0,31.0,1.9999999999999998,19.0,3.0,12.0,,,,,,
2022-02-05,127.0,10.0,28.0,10.0,1.0,2.0,,,,,,
2022-02-06,35.0,10.0,29.0,7.000000000000001,1.0,1.0,,,,,,
2022-02-07,29.0,6.0,26.999999999999996,6.0,1.0,2.0,,,,,,
2022-02-08,25.0,10.0,24.0,12.0,1.0,2.0,,,,,,
2022-02-09,24.0,20.0,14.0,22.0,2.0,6.0,,,,,,
2022-02-10,80.0,20.0,25.0,18.0,1.0,4.0,,,,,,
2022-02-11,73.0,10.0,25.0,11.0,1.1111111111111112,2.0,,,,,,
2022-02-12,38.0,12.0,25.0,13.0,1.2222222222222223,3.0,,,,,,
2022-02-13,57.0,23.0,19.0,13.0,1.3333333333333333,4.0,,,,,,
2022-02-14,81.0,26.0,15.0,15.0,1.4444444444444446,4.0,,,,,,
2022-02-15,81.0,24.0,24.0,11.0,1.5555555555555556,4.0,,,,,,
2022-02-16,96.0,8.0,37.0,6.0,1.666666666666667,3.0,,,,,,
2022-02-17,23.0,7.0,31.0,7.000000000000001,1.777777777777778,3.0,,,,,,
2022-02-18,27.0,7.0,31.0,9.0,1.8888888888888888,2.0,,,,,,
2022-02-19,26.0,8.0,29.0,9.0,2.0,4.0,,,,,,
2022-02-20,31.0,11.0,15.999999999999998,11.0,2.0,3.0,,,,,,
2022-02-21,50.0,7.0,26.999999999999996,10.0,2.0,3.0,,,,,,
2022-02-22,25.0,11.0,23.0,13.0,2.0,3.0,,,,,,
2022-02-23,29.0,17.0,23.0,17.0,2.0,6.0,,,,,,
2022-02-24,57.0,10.0,24.0,12.0,1.0,4.0,,,,,,
2022-02-25,38.0,8.0,24.0,10.0,2.0,4.0,,,,,,
2022-02-26,38.0,11.0,25.0,9.0,1.0,4.0,,,,,,
2022-02-27,49.0,10.0,24.0,6.0,1.0,4.0,,,,,,
2022-02-28,39.0,9.0,25.0,4.0,1.0,5.0,,,,,,
2022-03-01,39.0,14.0,23.0,18.0,2.0,5.0,,,,,,
2022-03-02,59.0,29.0,25.0,21.0,2.0,6.0,,,,,,
2022-03-03,88.0,32.0,20.0,15.0,2.0,5.0,,,,,,
2022-03-04,103.0,15.0,21.0,11.0,3.0,4.0,,,,,,
2022-03-05,67.0,8.0,20.0,6.0,2.0,5.0,,,,,,
2022-03-06,49.0,22.0,17.0,14.000000000000002,2.0,6.0,,,,,,
2022-03-07,85.0,18.0,16.0,15.0,2.0,5.0,,,,,,
2022-03-08,66.0,17.0,15.0,20.0,2.0,4.0,,,,,,
2022-03-09,68.0,13.0,26.999999999999996,16.0,2.0,2.0,,,,,,
2022-03-10,53.0,10.0,29.0,16.0,2.0,3.0,,,,,,
2022-03-11,43.0,14.0,36.0,16.0,2.0,4.0,,,,,,
2022-03-12,55.0,19.0,37.0,25.0,2.0,6.0,,,,,,
2022-03-13,79.0,20.0,39.0,27.0,3.0,5.0,,,,,,
2022-03-14,82.0,23.0,40.0,21.0,5.0,6.0,,,,,,
2022-03-15,89.0,20.0,28.0,15.0,2.0,4.0,,,,,,
2022-03-16,72.0,26.0,31.0,19.0,2.0,5.0,,,,,,
2022-03-17,92.0,27.0,20.0,25.0,2.0,6.0,,,,,,
2022-03-18,109.0,25.0,35.0,22.0,2.0,6.0,,,,,,
2022-03-19,106.11764705882354,16.0,36.0,17.0,2.0,4.0,,,,,,
2022-03-20,103.23529411764707,20.0,35.0,31.0,3.0,6.0,,,,,,
2022-03-21,100.3529411764706,19.0,42.0,28.999999999999996,4.0,6.0,,,,,,
2022-03-22,97.47058823529412,21.0,39.0,27.0,3.0,7.0,,,,,,
2022-03-23,94.58823529411765,18.0,43.0,30.0,3.0,8.0,,,,,,
2022-03-24,91.70588235294119,18.0,41.0,28.000000000000004,3.0,6.0,,,,,,
2022-03-25,88.82352941176471,19.0,44.0,26.0,2.0,5.0,,,,,,
2022-03-26,85.94117647058823,16.0,37.0,14.000000000000002,2.0,4.0,,,,,,
2022-03-27,83.05882352941177,18.0,42.0,22.0,2.0,5.0,,,,,,
2022-03-28,80.1764705882353,22.0,49.0,27.0,3.0,5.0,,,,,,
2022-03-29,77.29411764705883,20.0,40.0,16.0,3.0,4.0,,,,,,
2022-03-30,74.41176470588235,23.0,26.0,15.0,3.0,4.0,,,,,,
2022-03-31,71.52941176470588,14.0,15.0,10.0,2.5,3.5000000000000004,,,,,,
2022-04-01,68.64705882352942,15.0,17.0,8.0,2.0,3.0000000000000004,,,,,,
2022-04-02,65.76470588235294,9.0,24.0,9.0,2.0,2.5,,,,,,
2022-04-03,62.88235294117647,11.0,33.0,8.0,1.0,2.0,,,,,,
2022-04-04,60.0,10.0,35.0,11.0,2.0,2.0,,,,,,
2022-04-05,44.0,10.0,31.999999999999996,9.0,1.9722222222222223,2.0,,,,,,
2022-04-06,44.0,11.0,44.0,16.0,1.9444444444444444,3.0,,,,,,
2022-04-07,55.0,16.0,26.999999999999996,20.0,1.9166666666666667,2.0,,,,,,
2022-04-08,33.0,9.0,35.0,9.0,1.888888888888889,1.0,,,,,,
2022-04-09,21.0,8.0,29.0,7.000000000000001,1.8611111111111112,1.0,,,,,,
2022-04-10,25.0,6.0,36.0,6.0,1.8333333333333335,1.0,,,,,,
2022-04-11,25.0,7.0,34.0,11.0,1.8055555555555558,2.0,,,,,,
2022-04-12,48.0,12.0,40.0,21.0,1.777777777777778,2.0,,,,,,
2022-04-13,58.0,16.0,43.0,23.0,1.7500000000000002,3.0,,,,,,
2022-04-14,53.0,16.0,42.0,23.0,1.7222222222222223,3.0,,,,,,
2022-04-15,51.0,14.0,35.0,20.0,1.6944444444444446,1.0,,,,,,
2022-04-16,28.0,7.0,31.999999999999996,7.000000000000001,1.666666666666667,1.0,,,,,,
2022-04-17,19.0,7.0,36.0,6.0,1.6388888888888888,1.0,,,,,,
2022-04-18,27.0,8.0,36.0,7.000000000000001,1.6111111111111112,1.0,,,,,,
2022-04-19,51.0,12.0,29.0,13.0,1.5833333333333333,2.0,,,,,,
2022-04-20,59.0,13.0,40.0,14.000000000000002,1.5555555555555556,4.0,,,,,,
2022-04-21,72.0,16.0,47.0,19.0,1.527777777777778,4.0,,,,,,
2022-04-22,68.0,18.0,30.0,21.0,1.5000000000000002,4.0,,,,,,
2022-04-23,61.0,16.0,31.0,10.0,1.4722222222222223,4.0,,,,,,
2022-04-24,49.0,17.0,34.0,10.0,1.4444444444444446,4.0,,,,,,
