,pm25,pm10,o3,no2,so2,co,date
291,0.3645833333333333,0.14583333333333334,0.2653061224489796,0.76,0.2,0.2,2021-12-17
292,0.4375,0.14583333333333334,0.2857142857142857,0.68,0.2,0.2,2021-12-18
293,0.5104166666666666,0.125,0.2857142857142857,0.76,0.2,0.2,2021-12-19
294,0.22916666666666666,0.14583333333333334,0.32653061224489793,0.92,0.2,0.3,2021-12-20
295,0.3020833333333333,0.3541666666666667,0.1836734693877551,1.12,0.2,0.5,2021-12-21
296,0.6875,0.4166666666666667,0.20408163265306123,1.08,0.2,0.5,2021-12-22
297,0.9583333333333334,0.5833333333333334,0.14285714285714285,0.96,0.4,0.5,2021-12-23
298,0.96875,0.3541666666666667,0.2857142857142857,1.0,0.38,0.5,2021-12-24
299,0.625,0.14583333333333334,0.3877551020408163,0.88,0.36000000000000004,0.3,2021-12-25
300,0.34375,0.375,0.14285714285714285,1.2,0.34,0.5,2021-12-26
301,0.7916666666666666,0.3125,0.1836734693877551,0.92,0.32,0.5,2021-12-27
302,0.6145833333333334,0.2916666666666667,0.08163265306122448,0.84,0.30000000000000004,0.6,2021-12-28
303,0.6458333333333334,0.375,0.061224489795918366,0.84,0.28,0.6,2021-12-29
304,0.7291666666666666,0.5208333333333334,0.12244897959183673,0.96,0.26,0.8,2021-12-30
305,0.59375,0.3333333333333333,0.2653061224489796,0.72,0.24000000000000002,0.4,2021-12-31
306,0.3958333333333333,0.3541666666666667,0.12244897959183673,1.04,0.22000000000000003,0.6,2022-01-01
307,0.5416666666666666,0.2708333333333333,0.40816326530612246,0.84,0.2,0.4,2022-01-02
211,0.4375,0.22916666666666666,0.2857142857142857,0.76,0.2,0.4,2022-01-03
212,0.4791666666666667,0.125,0.5102040816326531,0.68,0.2,0.3,2022-01-04
213,0.2604166666666667,0.10416666666666667,0.4489795918367347,0.28,0.2,0.2,2022-01-05
214,0.21875,0.25,0.30612244897959184,0.64,0.2,0.3,2022-01-06
215,0.4791666666666667,0.3541666666666667,0.1836734693877551,0.8,0.2,0.5,2022-01-07
216,0.84375,0.5625,0.2653061224489796,0.6,0.2,0.5,2022-01-08
217,1.0208333333333333,0.5,0.3469387755102041,0.6,0.2,0.5,2022-01-09
218,1.0104166666666667,0.20833333333333334,0.42857142857142855,0.44,0.2,0.3,2022-01-10
219,0.5416666666666666,0.4375,0.24489795918367346,0.68,0.4,0.3,2022-01-11
220,0.7708333333333334,0.5,0.30612244897959184,0.6,0.4,0.3,2022-01-12
221,0.90625,0.22916666666666666,0.3673469387755102,0.4,0.2,0.2,2022-01-13
222,0.53125,0.25,0.46938775510204084,0.44,0.2,0.2,2022-01-14
223,0.4895833333333333,0.625,0.16326530612244897,0.64,0.2,0.6,2022-01-15
224,1.0729166666666667,0.22916666666666666,0.5714285714285714,0.28,0.2,0.2,2022-01-16
225,0.4375,0.1875,0.5510204081632653,0.28,0.2,0.3,2022-01-17
226,0.3645833333333333,0.4583333333333333,0.2653061224489796,0.76,0.2,0.5,2022-01-18
227,0.7916666666666666,0.3541666666666667,0.46938775510204084,0.52,0.2,0.3,2022-01-19
228,0.5833333333333334,0.125,0.5306122448979592,0.28,0.2,0.1,2022-01-20
229,0.23958333333333334,0.10416666666666667,0.5714285714285714,0.24,0.2,0.2,2022-01-21
230,0.21875,0.14583333333333334,0.5102040816326531,0.4,0.2,0.2,2022-01-22
231,0.3854166666666667,0.3541666666666667,0.2653061224489796,0.76,0.4,0.4,2022-01-23
232,0.6875,0.4583333333333333,0.22448979591836735,0.68,0.4,0.5,2022-01-24
233,1.0208333333333333,0.4166666666666667,0.2857142857142857,0.44,0.4,0.3,2022-01-25
234,0.7708333333333334,0.3541666666666667,0.32653061224489793,0.36,0.35000000000000003,0.1,2022-01-26
235,0.71875,0.14583333333333334,0.5510204081632653,0.24,0.30000000000000004,0.1,2022-01-27
236,0.3020833333333333,0.16666666666666666,0.5918367346938775,0.24,0.25,0.1,2022-01-28
237,0.3229166666666667,0.14583333333333334,0.673469387755102,0.16,0.2,0.2,2022-01-29
238,0.2604166666666667,0.2708333333333333,0.6530612244897959,0.36,0.2,0.2,2022-01-30
239,0.3958333333333333,0.22916666666666666,0.4489795918367347,0.44,0.2,0.3,2022-01-31
183,0.5,0.125,0.5918367346938775,0.28,0.2,0.3,2022-02-01
184,0.23958333333333334,0.20833333333333334,0.5306122448979592,0.48,0.2,0.3,2022-02-02
185,0.3125,0.4166666666666667,0.3877551020408163,0.64,0.6,0.6,2022-02-03
186,0.7395833333333334,0.6458333333333334,0.04081632653061224,0.76,0.6,1.2,2022-02-04
187,1.3229166666666667,0.20833333333333334,0.5714285714285714,0.4,0.2,0.2,2022-02-05
188,0.3645833333333333,0.20833333333333334,0.5918367346938775,0.28,0.2,0.1,2022-02-06
189,0.3020833333333333,0.125,0.5510204081632653,0.24,0.2,0.2,2022-02-07
190,0.2604166666666667,0.20833333333333334,0.4897959183673469,0.48,0.2,0.2,2022-02-08
191,0.25,0.4166666666666667,0.2857142857142857,0.88,0.4,0.6,2022-02-09
192,0.8333333333333334,0.4166666666666667,0.5102040816326531,0.72,0.2,0.4,2022-02-10
193,0.7604166666666666,0.20833333333333334,0.5102040816326531,0.44,0.22222222222222224,0.2,2022-02-11
194,0.3958333333333333,0.25,0.5102040816326531,0.52,0.24444444444444446,0.3,2022-02-12
195,0.59375,0.4791666666666667,0.3877551020408163,0.52,0.26666666666666666,0.4,2022-02-13
196,0.84375,0.5416666666666666,0.30612244897959184,0.6,0.2888888888888889,0.4,2022-02-14
197,0.84375,0.5,0.4897959183673469,0.44,0.3111111111111111,0.4,2022-02-15
198,1.0,0.16666666666666666,0.7551020408163265,0.24,0.33333333333333337,0.3,2022-02-16
199,0.23958333333333334,0.14583333333333334,0.6326530612244898,0.28,0.35555555555555557,0.3,2022-02-17
200,0.28125,0.14583333333333334,0.6326530612244898,0.36,0.37777777777777777,0.2,2022-02-18
