date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-14,115.0,52.0,0.9999999999999999,18.0,4.0,13.0,,,,,,
2021-12-15,137.0,43.0,3.0,12.0,4.0,10.0,,,,,,
2021-12-16,116.0,10.0,19.0,2.0,2.0,4.0,,,,,,
2021-12-17,38.0,13.0,20.0,3.0,2.0,5.0,,,,,,
2021-12-18,48.0,13.0,15.999999999999998,1.0,2.0,4.0,,,,,,
2021-12-19,50.0,6.0,23.0,1.0,2.0,4.0,,,,,,
2021-12-20,22.0,13.0,22.0,8.0,2.0,5.0,,,,,,
2021-12-21,40.0,31.0,5.0,23.0,3.0,9.0,,,,,,
2021-12-22,85.0,36.0,14.0,15.0,4.0,8.0,,,,,,
2021-12-23,98.0,34.0,7.0,16.0,4.214285714285714,5.0,,,,,,
2021-12-24,100.0,17.0,18.0,12.0,4.428571428571429,4.0,,,,,,
2021-12-25,60.0,15.0,26.0,8.0,4.642857142857143,3.0,,,,,,
2021-12-26,41.0,33.0,15.0,17.0,4.857142857142857,5.0,,,,,,
2021-12-27,84.0,23.0,7.999999999999999,10.0,5.071428571428571,4.0,,,,,,
2021-12-28,69.0,22.0,3.9999999999999996,8.0,5.285714285714286,6.0,,,,,,
2021-12-29,69.0,23.0,3.9999999999999996,9.0,5.5,6.0,,,,,,
2021-12-30,67.0,23.0,9.0,9.0,5.7142857142857135,7.0,,,,,,
2021-12-31,71.0,18.0,18.0,3.0,5.928571428571429,4.0,,,,,,
2022-01-01,53.0,16.0,9.0,11.0,6.142857142857143,4.0,,,,,,
2022-01-02,57.0,15.0,24.0,7.000000000000001,6.357142857142857,4.0,,,,,,
2022-01-03,46.0,14.0,15.999999999999998,8.0,6.571428571428571,3.0,,,,,,
2022-01-04,48.0,8.0,10.0,6.0,6.7857142857142865,3.0,,,,,,
2022-01-05,30.0,6.0,20.0,2.0,7.0,2.0,,,,,,
2022-01-06,20.0,18.0,11.0,16.0,1.0,4.0,,,,,,
2022-01-07,52.0,39.0,7.999999999999999,19.0,1.0,7.0,,,,,,
2022-01-08,101.0,44.0,10.0,19.0,1.0,7.0,,,,,,
2022-01-09,120.0,39.0,13.0,16.0,1.0,5.0,,,,,,
2022-01-10,104.0,18.0,17.0,11.0,1.0,3.0,,,,,,
2022-01-11,55.0,29.0,13.0,14.000000000000002,1.0,5.0,,,,,,
2022-01-12,79.0,36.0,15.999999999999998,14.000000000000002,1.0,6.0,,,,,,
2022-01-13,99.0,15.0,15.999999999999998,7.000000000000001,1.0,3.0,,,,,,
2022-01-14,53.0,18.0,21.0,9.0,1.0,4.0,,,,,,
2022-01-15,57.0,42.0,10.0,16.0,1.0,8.0,,,,,,
2022-01-16,117.0,16.0,28.0,5.0,1.0,3.0,,,,,,
2022-01-17,45.0,10.0,24.0,4.0,1.0,2.0,,,,,,
2022-01-18,34.0,32.0,5.0,22.0,1.0,7.0,,,,,,
2022-01-19,82.0,23.0,22.0,13.0,5.0,5.0,,,,,,
2022-01-20,64.0,7.0,24.0,2.0,1.0,2.0,,,,,,
2022-01-21,24.0,7.0,24.0,1.0,1.0,2.0,,,,,,
2022-01-22,22.0,14.0,22.0,6.0,1.0,3.0,,,,,,
2022-01-23,41.0,37.0,15.0,18.0,2.0,8.0,,,,,,
2022-01-24,85.0,47.0,9.0,17.0,3.0,8.0,,,,,,
2022-01-25,119.0,32.0,14.0,10.0,2.0,6.0,,,,,,
2022-01-26,94.0,24.0,17.0,6.0,1.0,4.0,,,,,,
2022-01-27,71.0,12.0,26.999999999999996,2.0,1.0,3.0,,,,,,
2022-01-28,30.0,9.0,26.999999999999996,2.0,1.0,3.0,,,,,,
2022-01-29,32.0,9.0,30.0,1.0,1.0,3.0,,,,,,
2022-01-30,24.0,14.0,29.0,5.0,1.0,4.0,,,,,,
2022-01-31,40.0,15.0,21.0,6.0,1.0,4.0,,,,,,
2022-02-01,53.0,6.0,25.0,2.0,1.0,4.0,,,,,,
2022-02-02,24.0,14.0,26.0,9.0,1.0,6.0,,,,,,
2022-02-03,35.0,30.0,15.999999999999998,21.0,8.0,6.0,,,,,,
2022-02-04,75.0,25.0,29.0,12.0,1.0,5.0,,,,,,
2022-02-05,67.0,11.0,6.0,25.0,1.0,5.0,,,,,,
2022-02-06,42.0,8.0,29.0,4.0,1.0,3.0,,,,,,
2022-02-07,32.0,7.0,25.0,3.0,1.0,3.0,,,,,,
2022-02-08,24.0,11.0,21.0,9.0,1.0,4.0,,,,,,
2022-02-09,34.0,39.0,15.0,24.0,2.0,9.0,,,,,,
2022-02-10,97.0,33.0,26.0,18.0,1.0,6.0,,,,,,
2022-02-11,85.0,13.0,26.0,9.0,1.0,4.0,,,,,,
2022-02-12,43.0,22.0,26.0,14.000000000000002,2.0,5.0,,,,,,
2022-02-13,66.0,33.0,23.0,16.0,3.0,6.0,,,,,,
2022-02-14,86.0,31.0,15.999999999999998,14.000000000000002,2.0,6.0,,,,,,
2022-02-15,83.0,29.0,20.0,11.0,2.0,5.0,,,,,,
2022-02-16,82.0,12.0,31.999999999999996,7.000000000000001,1.0,4.0,,,,,,
2022-02-17,40.0,10.0,28.0,7.000000000000001,5.0,3.0,,,,,,
2022-02-18,27.0,9.0,29.0,4.0,1.0,2.0,,,,,,
2022-02-19,29.0,11.0,26.999999999999996,12.0,1.0,4.0,,,,,,
2022-02-20,38.0,17.0,17.0,12.0,1.0,4.0,,,,,,
2022-02-21,55.0,7.0,26.0,6.0,1.0,3.0,,,,,,
2022-02-22,26.0,11.0,26.999999999999996,11.0,1.0,3.0,,,,,,
2022-02-23,35.0,23.0,28.0,20.0,2.0,5.0,,,,,,
2022-02-24,61.0,15.0,26.0,8.0,1.0,3.0,,,,,,
2022-02-25,44.0,15.0,24.0,11.0,1.0,4.0,,,,,,
2022-02-26,44.0,17.0,29.0,5.0,1.0,3.0,,,,,,
2022-02-27,53.0,13.0,24.0,4.0,1.0,3.0,,,,,,
2022-02-28,44.0,17.0,28.0,11.0,1.0,4.0,,,,,,
2022-03-01,46.0,26.0,28.0,17.0,5.0,5.0,,,,,,
2022-03-02,67.0,45.0,23.0,20.0,2.0,6.0,,,,,,
2022-03-03,98.0,44.0,26.0,15.0,1.0,5.0,,,,,,
2022-03-04,112.0,27.0,25.0,12.0,1.0,4.0,,,,,,
2022-03-05,74.0,16.0,15.0,5.0,1.0,3.0,,,,,,
2022-03-06,57.0,39.0,15.999999999999998,15.0,1.0,5.0,,,,,,
2022-03-07,92.0,36.0,25.0,16.0,1.0,5.0,,,,,,
2022-03-08,80.0,33.0,24.0,14.000000000000002,1.0,5.0,,,,,,
2022-03-09,80.0,18.0,31.0,10.0,1.0,4.0,,,,,,
2022-03-10,50.0,19.0,31.0,12.0,1.0,4.0,,,,,,
2022-03-11,46.0,27.0,31.999999999999996,16.0,1.0,6.0,,,,,,
2022-03-12,67.0,40.0,29.0,21.0,1.0,7.0,,,,,,
2022-03-13,94.0,39.0,31.999999999999996,21.0,2.0,7.0,,,,,,
2022-03-14,88.0,39.0,34.0,16.0,4.0,7.0,,,,,,
2022-03-15,87.0,31.0,26.0,10.0,5.0,5.0,,,,,,
2022-03-16,76.0,42.0,37.0,15.0,1.0,6.0,,,,,,
2022-03-17,103.0,45.0,26.999999999999996,21.0,1.0,7.0,,,,,,
2022-03-18,105.0,40.0,40.0,16.0,1.0,7.0,,,,,,
2022-03-19,101.0,28.0,37.0,14.000000000000002,1.0,4.0,,,,,,
2022-03-20,71.0,42.0,42.0,19.0,2.0,5.0,,,,,,
2022-03-21,89.0,50.0,41.0,21.0,2.0,6.0,,,,,,
2022-03-22,96.0,45.0,38.0,25.0,1.0,6.0,,,,,,
2022-03-23,81.0,43.0,42.0,20.0,1.0,6.0,,,,,,
2022-03-24,85.0,36.0,38.0,24.0,1.0,6.0,,,,,,
2022-03-25,65.0,34.0,42.0,15.0,1.0,5.0,,,,,,
2022-03-26,67.0,32.0,31.999999999999996,11.0,1.0,4.0,,,,,,
2022-03-27,65.0,40.0,31.0,19.0,1.0,5.0,,,,,,
2022-03-28,63.0,48.0,36.0,22.0,4.0,5.0,,,,,,
2022-03-29,73.0,52.0,26.0,22.0,2.0,4.0,,,,,,
2022-03-30,86.0,28.0,17.0,13.0,2.0,4.0,,,,,,
2022-03-31,72.0,18.0,13.0,6.0,1.0,4.0,,,,,,
2022-04-01,59.0,25.0,15.999999999999998,5.0,1.0,4.0,,,,,,
2022-04-02,77.0,20.0,31.999999999999996,4.0,1.0,3.0,,,,,,
2022-04-03,64.0,18.0,33.0,8.0,1.0,3.0,,,,,,
2022-04-04,58.0,17.0,28.0,10.0,1.0,4.0,,,,,,
2022-04-05,50.0,19.0,35.0,17.0,2.0,5.0,,,,,,
2022-04-06,52.0,28.0,28.0,16.0,2.0,5.0,,,,,,
2022-04-07,64.0,14.0,28.0,8.0,1.0,3.0,,,,,,
2022-04-08,37.0,6.0,25.0,4.0,1.0,4.0,,,,,,
2022-04-09,20.0,6.0,33.0,2.0,1.0,3.0,,,,,,
2022-04-10,22.0,9.0,35.0,6.0,1.0,3.0,,,,,,
2022-04-11,31.0,21.0,41.0,18.0,2.0,5.0,,,,,,
2022-04-12,53.0,24.0,46.0,16.0,2.0,5.0,,,,,,
2022-04-13,60.0,27.0,42.0,22.0,2.0,5.0,,,,,,
2022-04-14,58.0,30.0,33.0,15.0,2.0,5.0,,,,,,
2022-04-15,67.0,9.0,31.0,3.0,2.0,4.0,,,,,,
2022-04-16,34.0,6.0,35.0,2.0,2.0,3.0,,,,,,
2022-04-17,20.0,9.0,36.0,4.0,2.0,4.0,,,,,,
2022-04-18,32.0,15.0,33.0,10.0,2.0,4.0,,,,,,
2022-04-19,52.0,22.0,40.0,8.0,2.0,4.0,,,,,,
2022-04-20,66.0,32.0,42.0,22.0,2.0,6.0,,,,,,
2022-04-21,77.0,30.0,31.0,14.000000000000002,2.0,5.0,,,,,,
2022-04-22,72.0,20.0,29.0,7.000000000000001,2.0,5.0,,,,,,
2022-04-23,66.0,16.0,31.999999999999996,7.000000000000001,2.0,5.0,,,,,,
2022-04-24,50.0,10.0,31.0,10.0,4.0,4.0,,,,,,
2022-04-25,29.0,13.0,34.0,6.0,2.0,4.0,,,,,,
2022-04-26,37.0,14.0,21.0,7.000000000000001,2.0,4.0,,,,,,
2022-04-27,49.0,13.0,26.999999999999996,7.000000000000001,2.0,4.0,,,,,,
2022-04-28,40.0,15.0,40.0,8.0,2.0,3.0,,,,,,
2022-04-29,45.0,19.0,41.0,11.0,2.0,4.0,,,,,,
2022-04-30,52.0,18.0,41.0,7.000000000000001,2.0,3.0,,,,,,
2022-05-01,49.0,20.0,34.0,11.0,2.0,3.0,,,,,,
2022-05-02,49.0,19.0,38.0,10.0,2.0,4.0,,,,,,
2022-05-03,46.0,21.0,40.0,10.0,2.0,4.0,,,,,,
2022-05-04,52.0,18.0,42.0,11.0,2.0,4.0,,,,,,
2022-05-05,47.0,23.0,34.0,10.0,2.0,4.0,,,,,,
2022-05-06,58.0,20.0,37.0,7.000000000000001,2.0,4.0,,,,,,
2022-05-07,53.0,17.0,39.0,4.0,2.0,4.0,,,,,,
2022-05-08,50.0,18.0,30.0,7.000000000000001,5.0,4.0,,,,,,
2022-05-09,47.0,19.0,36.0,7.000000000000001,2.0,3.0,,,,,,
2022-05-10,47.0,21.0,50.0,15.0,2.0,3.0,,,,,,
2022-05-11,47.0,29.0,52.0,13.0,2.0,4.0,,,,,,
2022-05-12,53.0,17.0,33.0,7.000000000000001,2.0,3.0,,,,,,
