date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-19,49.0,6.0,26.0,3.0,1.0,3.0,,,,,,
2021-12-20,22.0,10.0,26.999999999999996,7.000000000000001,1.0,4.0,,,,,,
2021-12-21,29.0,21.0,15.0,16.0,1.0,5.0,,,,,,
2021-12-22,66.0,23.0,21.0,13.0,1.0,5.0,,,,,,
2021-12-23,92.0,30.0,28.0,7.000000000000001,1.0,4.0,,,,,,
2021-12-24,93.0,14.0,23.0,9.0,1.0,4.0,,,,,,
2021-12-25,60.0,10.0,33.0,7.000000000000001,1.0,4.0,,,,,,
2021-12-26,33.0,19.0,20.0,15.0,1.0,6.0,,,,,,
2021-12-27,76.0,21.0,15.0,9.0,1.0,5.0,,,,,,
2021-12-28,59.0,14.0,12.0,8.0,1.0,6.0,,,,,,
2021-12-29,62.0,17.0,7.999999999999999,9.0,1.0,7.0,,,,,,
2021-12-30,70.0,14.0,21.0,7.000000000000001,1.0,4.0,,,,,,
2021-12-31,57.0,24.0,24.0,4.0,1.0,3.0,,,,,,
2022-01-01,38.0,9.0,23.0,8.0,2.0,4.0,,,,,,
2022-01-02,52.0,11.0,33.0,3.0,1.0,2.0,,,,,,
2022-01-03,42.0,10.0,28.0,3.0,1.0,2.0,,,,,,
2022-01-04,46.0,8.0,30.0,3.0,1.0,2.0,,,,,,
2022-01-05,25.0,10.0,28.0,2.0,1.0,3.0,,,,,,
2022-01-06,21.0,14.0,19.0,10.0,1.0,5.0,,,,,,
2022-01-07,46.0,27.0,15.0,13.0,1.0,6.0,,,,,,
2022-01-08,81.0,34.0,13.0,12.0,1.0,5.0,,,,,,
2022-01-09,98.0,38.0,28.0,10.0,1.0,5.0,,,,,,
2022-01-10,97.0,14.0,31.999999999999996,4.0,1.0,4.0,,,,,,
2022-01-11,52.0,24.0,24.0,8.0,1.0,4.0,,,,,,
2022-01-12,74.0,27.0,26.0,6.0,1.0,3.0,,,,,,
2022-01-13,87.0,15.0,25.0,3.0,1.0,3.0,,,,,,
2022-01-14,51.0,11.0,30.0,5.0,1.0,3.0,,,,,,
2022-01-15,47.0,25.0,13.0,13.0,1.0,7.0,,,,,,
2022-01-16,103.0,21.0,35.0,3.0,1.0,3.0,,,,,,
2022-01-17,42.0,12.0,31.999999999999996,2.0,1.0,3.0,,,,,,
2022-01-18,35.0,17.0,25.0,10.0,1.0,5.0,,,,,,
2022-01-19,76.0,18.0,33.0,5.0,1.0,4.0,,,,,,
2022-01-20,56.0,9.0,33.0,2.0,1.0,3.0,,,,,,
2022-01-21,23.0,8.0,35.0,1.0,1.0,3.0,,,,,,
2022-01-22,21.0,11.0,31.999999999999996,3.0,1.0,4.0,,,,,,
2022-01-23,37.0,15.0,25.0,13.0,1.0,8.0,,,,,,
2022-01-24,66.0,25.0,22.0,9.0,1.0,5.0,,,,,,
2022-01-25,98.0,18.0,22.0,3.0,1.0,3.0,,,,,,
2022-01-26,74.0,15.0,26.999999999999996,3.0,1.0,4.0,,,,,,
2022-01-27,69.0,14.0,36.0,2.0,1.0,3.0,,,,,,
2022-01-28,29.0,10.0,34.0,2.0,1.0,3.0,,,,,,
2022-01-29,31.0,9.0,38.0,1.0,1.0,3.0,,,,,,
2022-01-30,25.0,14.0,38.0,2.0,1.0,4.0,,,,,,
2022-01-31,38.0,15.0,31.999999999999996,3.0,1.0,4.0,,,,,,
2022-02-01,48.0,7.0,35.0,1.0,1.0,3.0,,,,,,
2022-02-02,23.0,10.0,34.0,5.0,1.0,5.0,,,,,,
2022-02-03,30.0,23.0,25.0,9.0,2.0,6.0,,,,,,
2022-02-04,71.0,48.0,3.0,12.0,2.0,10.0,,,,,,
2022-02-05,61.0,9.0,34.0,4.0,1.0,4.0,,,,,,
2022-02-06,35.0,8.0,38.0,1.0,1.0,4.0,,,,,,
2022-02-07,29.0,11.0,33.0,1.0,1.0,4.0,,,,,,
2022-02-08,25.0,9.0,29.0,6.0,1.0,3.0,,,,,,
2022-02-09,24.0,16.0,29.0,9.0,1.0,3.0,,,,,,
2022-02-10,80.0,19.0,35.0,7.000000000000001,1.0,2.0,,,,,,
2022-02-11,73.0,10.0,34.0,5.0,1.0,2.0,,,,,,
2022-02-12,38.0,14.0,35.0,10.0,1.0,3.0,,,,,,
2022-02-13,57.0,28.0,29.0,9.0,3.0,3.0,,,,,,
2022-02-14,81.0,29.0,22.0,8.0,2.0,3.0,,,,,,
2022-02-15,81.0,17.0,34.0,5.0,1.0,2.0,,,,,,
2022-02-16,96.0,10.0,42.0,3.0,1.0,1.0,,,,,,
2022-02-17,23.0,7.0,38.0,3.0,1.0,1.0,,,,,,
2022-02-18,27.0,11.0,39.0,2.0,2.0,1.0,,,,,,
2022-02-19,26.0,7.0,36.0,5.0,2.0,1.0,,,,,,
2022-02-20,31.0,10.0,26.0,4.0,2.0,2.0,,,,,,
2022-02-21,50.0,11.0,34.0,2.0,2.0,1.0,,,,,,
2022-02-22,25.0,11.0,37.0,5.0,2.0,3.0,,,,,,
2022-02-23,29.0,18.0,34.0,8.0,3.0,3.0,,,,,,
2022-02-24,57.0,14.0,36.0,5.0,2.0,2.0,,,,,,
2022-02-25,38.0,12.0,37.0,4.0,2.0,2.0,,,,,,
2022-02-26,38.0,18.0,40.0,2.0,2.0,2.0,,,,,,
2022-02-27,49.0,11.0,34.0,2.0,1.666666666666667,2.0,,,,,,
2022-02-28,39.0,11.0,39.0,5.0,1.3333333333333335,2.0,,,,,,
2022-03-01,39.0,22.0,40.0,8.0,1.0,3.0,,,,,,
2022-03-02,59.0,30.0,38.0,11.0,1.0,4.0,,,,,,
2022-03-03,88.0,38.0,37.0,8.0,1.0,4.0,,,,,,
2022-03-04,103.0,34.0,37.0,6.0,1.0,3.0,,,,,,
2022-03-05,74.0,12.0,41.0,2.0,1.0,2.0,,,,,,
2022-03-06,54.0,28.0,29.0,6.0,1.0,4.0,,,,,,
2022-03-07,85.0,28.0,40.0,8.0,1.0,4.0,,,,,,
2022-03-08,66.0,24.0,38.0,7.000000000000001,1.0,3.0,,,,,,
2022-03-09,68.0,20.0,42.0,5.0,1.0,2.0,,,,,,
2022-03-10,53.0,18.0,42.0,6.0,1.0,3.0,,,,,,
2022-03-11,43.0,22.0,43.0,7.000000000000001,1.0,3.0,,,,,,
2022-03-12,55.0,17.0,46.0,9.0,1.0,4.0,,,,,,
2022-03-13,79.0,19.666666666666668,48.0,9.0,1.0,4.0,,,,,,
2022-03-14,82.0,22.333333333333336,53.00000000000001,8.0,3.0,3.0,,,,,,
2022-03-15,89.0,25.0,40.0,4.0,1.0,3.0,,,,,,
2022-03-16,72.0,32.0,46.0,7.000000000000001,1.0,4.0,,,,,,
2022-03-17,92.0,38.0,31.0,10.0,1.0,5.0,,,,,,
2022-03-18,109.0,37.0,51.0,7.000000000000001,1.0,3.0,,,,,,
2022-03-19,106.11764705882354,22.0,46.0,6.0,1.0,3.0,,,,,,
2022-03-20,103.23529411764707,24.0,52.0,11.0,1.0,4.0,,,,,,
2022-03-21,100.3529411764706,28.0,65.0,12.0,1.0,4.0,,,,,,
2022-03-22,97.47058823529412,33.0,54.99999999999999,15.0,1.0,3.5,,,,,,
2022-03-23,94.58823529411765,32.0,66.0,11.0,1.0,3.0,,,,,,
