,pm25,pm10,o3,no2,so2,co,date
295,0.5104166666666666,0.125,0.5306122448979592,0.12,0.2,0.3,2021-12-19
296,0.22916666666666666,0.20833333333333334,0.5510204081632653,0.28,0.2,0.4,2021-12-20
297,0.3020833333333333,0.4375,0.30612244897959184,0.64,0.2,0.5,2021-12-21
298,0.6875,0.4791666666666667,0.42857142857142855,0.52,0.2,0.5,2021-12-22
299,0.9583333333333334,0.625,0.5714285714285714,0.28,0.2,0.4,2021-12-23
300,0.96875,0.2916666666666667,0.46938775510204084,0.36,0.2,0.4,2021-12-24
301,0.625,0.20833333333333334,0.673469387755102,0.28,0.2,0.4,2021-12-25
302,0.34375,0.3958333333333333,0.40816326530612246,0.6,0.2,0.6,2021-12-26
303,0.7916666666666666,0.4375,0.30612244897959184,0.36,0.2,0.5,2021-12-27
304,0.6145833333333334,0.2916666666666667,0.24489795918367346,0.32,0.2,0.6,2021-12-28
305,0.6458333333333334,0.3541666666666667,0.16326530612244897,0.36,0.2,0.7,2021-12-29
306,0.7291666666666666,0.2916666666666667,0.42857142857142855,0.28,0.2,0.4,2021-12-30
307,0.59375,0.5,0.4897959183673469,0.16,0.2,0.3,2021-12-31
308,0.3958333333333333,0.1875,0.46938775510204084,0.32,0.4,0.4,2022-01-01
309,0.5416666666666666,0.22916666666666666,0.673469387755102,0.12,0.2,0.2,2022-01-02
212,0.4375,0.20833333333333334,0.5714285714285714,0.12,0.2,0.2,2022-01-03
213,0.4791666666666667,0.16666666666666666,0.6122448979591837,0.12,0.2,0.2,2022-01-04
214,0.2604166666666667,0.20833333333333334,0.5714285714285714,0.08,0.2,0.3,2022-01-05
215,0.21875,0.2916666666666667,0.3877551020408163,0.4,0.2,0.5,2022-01-06
216,0.4791666666666667,0.5625,0.30612244897959184,0.52,0.2,0.6,2022-01-07
217,0.84375,0.7083333333333334,0.2653061224489796,0.48,0.2,0.5,2022-01-08
218,1.0208333333333333,0.7916666666666666,0.5714285714285714,0.4,0.2,0.5,2022-01-09
219,1.0104166666666667,0.2916666666666667,0.6530612244897959,0.16,0.2,0.4,2022-01-10
220,0.5416666666666666,0.5,0.4897959183673469,0.32,0.2,0.4,2022-01-11
221,0.7708333333333334,0.5625,0.5306122448979592,0.24,0.2,0.3,2022-01-12
222,0.90625,0.3125,0.5102040816326531,0.12,0.2,0.3,2022-01-13
223,0.53125,0.22916666666666666,0.6122448979591837,0.2,0.2,0.3,2022-01-14
224,0.4895833333333333,0.5208333333333334,0.2653061224489796,0.52,0.2,0.7,2022-01-15
225,1.0729166666666667,0.4375,0.7142857142857143,0.12,0.2,0.3,2022-01-16
226,0.4375,0.25,0.6530612244897959,0.08,0.2,0.3,2022-01-17
227,0.3645833333333333,0.3541666666666667,0.5102040816326531,0.4,0.2,0.5,2022-01-18
228,0.7916666666666666,0.375,0.673469387755102,0.2,0.2,0.4,2022-01-19
229,0.5833333333333334,0.1875,0.673469387755102,0.08,0.2,0.3,2022-01-20
230,0.23958333333333334,0.16666666666666666,0.7142857142857143,0.04,0.2,0.3,2022-01-21
231,0.21875,0.22916666666666666,0.6530612244897959,0.12,0.2,0.4,2022-01-22
232,0.3854166666666667,0.3125,0.5102040816326531,0.52,0.2,0.8,2022-01-23
233,0.6875,0.5208333333333334,0.4489795918367347,0.36,0.2,0.5,2022-01-24
234,1.0208333333333333,0.375,0.4489795918367347,0.12,0.2,0.3,2022-01-25
235,0.7708333333333334,0.3125,0.5510204081632653,0.12,0.2,0.4,2022-01-26
236,0.71875,0.2916666666666667,0.7346938775510204,0.08,0.2,0.3,2022-01-27
237,0.3020833333333333,0.20833333333333334,0.6938775510204082,0.08,0.2,0.3,2022-01-28
238,0.3229166666666667,0.1875,0.7755102040816326,0.04,0.2,0.3,2022-01-29
239,0.2604166666666667,0.2916666666666667,0.7755102040816326,0.08,0.2,0.4,2022-01-30
240,0.3958333333333333,0.3125,0.6530612244897959,0.12,0.2,0.4,2022-01-31
184,0.5,0.14583333333333334,0.7142857142857143,0.04,0.2,0.3,2022-02-01
185,0.23958333333333334,0.20833333333333334,0.6938775510204082,0.2,0.2,0.5,2022-02-02
186,0.3125,0.4791666666666667,0.5102040816326531,0.36,0.4,0.6,2022-02-03
187,0.7395833333333334,1.0,0.061224489795918366,0.48,0.4,1.0,2022-02-04
188,0.6354166666666666,0.1875,0.6938775510204082,0.16,0.2,0.4,2022-02-05
189,0.3645833333333333,0.16666666666666666,0.7755102040816326,0.04,0.2,0.4,2022-02-06
190,0.3020833333333333,0.22916666666666666,0.673469387755102,0.04,0.2,0.4,2022-02-07
191,0.2604166666666667,0.1875,0.5918367346938775,0.24,0.2,0.3,2022-02-08
