date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2021-12-18,42.0,8.0,15.999999999999998,8.0,1.0,4.0,,,,,,
2021-12-19,49.0,6.0,19.0,9.0,1.0,4.0,,,,,,
2021-12-20,22.0,8.0,20.0,15.0,1.0,4.0,,,,,,
2021-12-21,29.0,25.0,7.999999999999999,25.0,1.0,6.0,,,,,,
2021-12-22,66.0,30.0,11.0,22.0,1.0,6.0,,,,,,
2021-12-23,92.0,28.0,11.0,16.0,2.0,7.0,,,,,,
2021-12-24,93.0,17.0,22.0,16.0,1.9285714285714286,7.0,,,,,,
2021-12-25,60.0,11.0,24.0,14.000000000000002,1.8571428571428572,4.0,,,,,,
2021-12-26,33.0,26.0,9.0,26.0,1.7857142857142858,7.0,,,,,,
2021-12-27,76.0,19.0,10.0,15.0,1.7142857142857144,6.0,,,,,,
2021-12-28,59.0,15.0,3.0,14.000000000000002,1.6428571428571428,8.0,,,,,,
2021-12-29,62.0,16.0,3.0,14.000000000000002,1.5714285714285714,8.0,,,,,,
2021-12-30,70.0,18.0,9.0,18.0,1.5000000000000002,10.0,,,,,,
2021-12-31,57.0,24.0,17.0,9.0,1.4285714285714284,6.0,,,,,,
2022-01-01,38.0,14.0,10.0,17.0,1.3571428571428572,7.0,,,,,,
2022-01-02,52.0,16.0,24.0,14.000000000000002,1.2857142857142856,7.0,,,,,,
2022-01-03,42.0,12.0,17.0,15.0,1.2142857142857142,7.0,,,,,,
2022-01-04,46.0,12.0,24.0,15.0,1.142857142857143,7.0,,,,,,
2022-01-05,25.0,9.0,20.0,8.0,1.0714285714285716,4.0,,,,,,
2022-01-06,21.0,16.0,14.0,20.0,1.0,5.0,,,,,,
2022-01-07,46.0,28.0,9.0,24.0,1.0,6.0,,,,,,
2022-01-08,81.0,31.0,11.0,19.0,1.0,6.0,,,,,,
2022-01-09,98.0,35.0,14.0,21.0,1.0,6.0,,,,,,
2022-01-10,97.0,20.0,18.0,16.0,1.0,4.0,,,,,,
2022-01-11,52.0,29.0,13.0,21.0,2.0,5.0,,,,,,
2022-01-12,74.0,30.0,18.0,18.0,2.0,6.0,,,,,,
2022-01-13,87.0,11.0,15.999999999999998,11.0,1.0,4.0,,,,,,
2022-01-14,51.0,12.0,22.0,15.0,1.0,5.0,,,,,,
2022-01-15,47.0,36.0,7.999999999999999,20.0,1.0,9.0,,,,,,
2022-01-16,103.0,18.0,26.999999999999996,9.0,1.0,4.0,,,,,,
2022-01-17,42.0,13.0,24.0,10.0,1.0,3.0,,,,,,
